OBJECTID,X,Y
1257,-122.905228861123,49.2052652065209
1265,-122.905304372118,49.2053347121435
1267,-122.910233733911,49.2052477957526
1278,-122.921119980578,49.2051569747856
1280,-122.921796578307,49.2054661534272
1306,-122.905107041333,49.2045501638666
1311,-122.908302648247,49.2037122207307
1317,-122.911802972725,49.2045090515025
1318,-122.911509570011,49.2040644593661
1319,-122.911355660059,49.2041512359322
1320,-122.911739517874,49.2044490043958
1326,-122.922425593031,49.2044290600687
1331,-122.933897981202,49.2037103647643
1343,-122.907815992722,49.2033415868301
1344,-122.90763410491,49.203190410437
1345,-122.907836373591,49.2030857767644
1347,-122.90819859698,49.2036342387877
1351,-122.909292188666,49.2030979934452
1353,-122.909397724347,49.2030400565911
1355,-122.909810796378,49.2034920338724
1357,-122.90993156244,49.2034384261696
1361,-122.911369582481,49.2033512047266
1362,-122.911470055718,49.2034365572192
1366,-122.915199240176,49.2034421438602
1370,-122.91850535866,49.2028457067351
1371,-122.91945518422,49.2036058461264
1372,-122.919238551577,49.2034403612614
1386,-122.946856440394,49.2030323317499
1388,-122.948700430061,49.203231601749
1389,-122.948752963287,49.2032747125498
1401,-122.910380810321,49.2019564400204
1405,-122.912902808605,49.2025167076654
1410,-122.914176730735,49.2024412911584
1412,-122.917183065856,49.2020438246254
1413,-122.917389554401,49.2021929346851
1418,-122.917551131264,49.2021084943037
1419,-122.917378858403,49.2019388097702
1420,-122.917927739773,49.2024032686794
1422,-122.92203927443,49.2019881953168
1423,-122.926496400786,49.20221869885
1424,-122.926646953929,49.2023376224838
1441,-122.945740858662,49.2021713676792
1445,-122.910381246429,49.2017150964063
1446,-122.910198230129,49.2018070661524
1455,-122.913252938001,49.201846821205
1456,-122.913358880105,49.2017878015894
1463,-122.91421380693,49.2013235625013
1464,-122.914321940502,49.2012660728265
1473,-122.9215737781,49.2012041195211
1484,-122.945946400079,49.2010381010597
1488,-122.946921439397,49.2015721950306
1495,-122.914239105591,49.2003475908667
1496,-122.914050862961,49.200373177512
1497,-122.915580800834,49.2007415697228
1514,-122.945646954615,49.2008365557145
1524,-122.91442070195,49.1996390754531
1525,-122.914539828899,49.1995724184916
1531,-122.915627033736,49.1989858243337
1543,-122.940417832825,49.1887342923099
1544,-122.941316100788,49.1885837207687
1545,-122.941173440151,49.1886428374109
1554,-122.947909044694,49.1856904781639
1555,-122.947981123074,49.1856594767755
1556,-122.949114444338,49.1851852982854
1557,-122.949215757852,49.1851475625058
1558,-122.95467735019,49.1828660109195
1559,-122.95562124899,49.182466445072
1560,-122.955541905109,49.1824998771877
1561,-122.954791695692,49.1828229681026
1562,-122.956803837338,49.1819763780145
1583,-122.919082880222,49.2035223793905
1584,-122.919260776485,49.2037021399994
1595,-122.940781002169,49.2069851030908
1616,-122.89367835676,49.2283723798603
1626,-122.899898283939,49.2317969241092
1630,-122.901203499533,49.2251245690896
1631,-122.901371980346,49.2251316466117
1634,-122.899308227169,49.2236661320023
1637,-122.89463265643,49.2189328810049
1638,-122.895538153156,49.2198553116302
1639,-122.895391057363,49.2198092495428
1657,-122.908654766327,49.2281469868747
1664,-122.910728908221,49.2195013290136
1665,-122.910655154521,49.2194037074465
1683,-122.903567708974,49.2081643193807
1684,-122.904696649546,49.2070679754339
1687,-122.905481873044,49.2088573786553
1691,-122.908025648836,49.2095638704796
1694,-122.905239172232,49.2044815698556
1700,-122.913483891495,49.20559366237
1701,-122.913400672664,49.2055303163003
1702,-122.913204535593,49.2056239423437
1703,-122.913148340762,49.205583061459
1704,-122.913052663828,49.2055102760012
1705,-122.912937254523,49.2054175546082
1706,-122.912794507543,49.2053048905788
1707,-122.912670007902,49.2051967657021
1715,-122.911500690338,49.2025976322322
1716,-122.915923475355,49.2016979591873
1726,-122.920187987244,49.2013006478519
1727,-122.920086562029,49.201215902241
1730,-122.926312190712,49.2050740886566
1731,-122.926192148122,49.2051406212815
1732,-122.92621935405,49.2049641518463
1733,-122.92629851486,49.2049186564991
1734,-122.921271560832,49.2050613934345
1739,-122.9228387801,49.2062883676841
1740,-122.922759089009,49.2062301697354
1743,-122.923808860812,49.2070554223947
1744,-122.923617988933,49.2071524571941
1745,-122.923545670796,49.2070968885996
1746,-122.923725955526,49.206994063854
1747,-122.924197879144,49.2073657434029
1748,-122.924006636768,49.2074561022898
1749,-122.924128646977,49.2075573939327
1750,-122.924581719007,49.2079237810539
1751,-122.924509373419,49.2078613496448
1752,-122.92145112255,49.2090005043315
1755,-122.93211029573,49.2068925282907
1757,-122.933783102887,49.2059821897416
1769,-122.937373216051,49.2088653059925
1771,-122.944450305314,49.2035646217322
1772,-122.944367928429,49.2036057391727
1773,-122.945832927138,49.2022339300298
1774,-122.945874156761,49.2021092735939
1775,-122.946736971904,49.2016704377509
1776,-122.946602083677,49.2015591350761
1780,-122.927357892092,49.1961934640827
1796,-122.952192446835,49.1784140880625
1797,-122.951997777365,49.1784777779592
1798,-122.952583936993,49.179086865888
1799,-122.95247581064,49.1789842665119
1802,-122.953413491296,49.1799164025456
1803,-122.953551465255,49.1798656128869
1808,-122.949519401455,49.1794986778454
1809,-122.94932758737,49.1795750236142
1810,-122.95011488825,49.1801161263486
1811,-122.950013496434,49.1800095111769
1812,-122.950662551585,49.1806802080632
1818,-122.951489687469,49.1818108076661
1819,-122.951415526573,49.1817343287611
1820,-122.95211134427,49.1824818202097
1821,-122.952079274354,49.1824049822811
1822,-122.951676608486,49.182640293379
1823,-122.951170626525,49.1828549079483
1845,-122.922824889257,49.2167098322359
1846,-122.922648636351,49.2168036223506
1847,-122.922069162053,49.217118406708
1848,-122.921983323902,49.2171653697799
1892,-122.94505597825,49.2083903616145
1910,-122.931905177448,49.2068298281913
1925,-122.900002685443,49.2317309857545
1926,-122.89994120001,49.2316820073197
1973,-122.932726606399,49.2143794076294
1986,-122.928774784814,49.2147140026323
2024,-122.943656641766,49.2072693176342
2108,-122.914777198461,49.2029154615759
2109,-122.914689815226,49.2028454343217
2112,-122.940048801945,49.2042052205298
2124,-122.927599286108,49.2069641708975
2125,-122.927497586461,49.2068712010163
2126,-122.927317139512,49.2069610837223
2131,-122.905456940056,49.2257964749615
2132,-122.905825938217,49.2244939227797
2133,-122.905734831789,49.2244199370616
2148,-122.920643163847,49.2030269061016
2149,-122.920532372187,49.2030876651411
2153,-122.919965350329,49.2210152288126
2177,-122.909884892716,49.2103750307354
2178,-122.908716086215,49.209381054594
2179,-122.908644334435,49.2093845671984
2181,-122.908805179476,49.2093299543605
2182,-122.908817055544,49.2092918839736
2191,-122.919557702381,49.2158838164226
2195,-122.919313132396,49.215827491012
2199,-122.917832491877,49.2194033004458
2200,-122.91771065436,49.2194752091918
2201,-122.917607081363,49.2194888198728
2204,-122.917693709729,49.2192859860226
2214,-122.906164636774,49.2062636873826
2230,-122.911153169733,49.205787368965
2231,-122.911011372841,49.2058622302003
2232,-122.910891519377,49.2058538081558
2233,-122.910659379266,49.2056703676721
2234,-122.91067038279,49.2056108758974
2235,-122.910830358026,49.2055265093906
2236,-122.91091932033,49.2055432382231
2237,-122.911147848797,49.2057159647113
2246,-122.924097317607,49.2160223206395
2249,-122.923963066029,49.2159091823714
2250,-122.923103083706,49.215223468678
2251,-122.922997860628,49.2151365284577
2252,-122.920536203758,49.2131553674874
2254,-122.926652389603,49.2133677969712
2255,-122.926567935452,49.2133600082686
2256,-122.926826910545,49.2132721123869
2258,-122.92548526502,49.212528139872
2259,-122.925508937635,49.2124888853254
2260,-122.925692548784,49.2123866633329
2262,-122.923959505026,49.2113181017669
2263,-122.92379262594,49.2111692412276
2265,-122.922396841165,49.2097649966033
2266,-122.922364997834,49.2098018657855
2267,-122.922187757032,49.2098963517766
2268,-122.922081649171,49.2098022695824
2269,-122.922109859842,49.2097653980288
2270,-122.922284372631,49.2096732904732
2271,-122.920480335672,49.2082404872989
2272,-122.920255831956,49.2083617131881
2273,-122.920125235923,49.2082527376473
2274,-122.920356073156,49.2081457964026
2275,-122.919491753922,49.207448449745
2276,-122.9194101358,49.2073793728448
2277,-122.918339459649,49.2068300284959
2278,-122.918553981785,49.2067028488747
2279,-122.918228875173,49.2067049993313
2280,-122.918423375261,49.2066051766553
2281,-122.91656374172,49.205156802115
2282,-122.916557439537,49.2051246672624
2283,-122.916373781929,49.2052584105381
2284,-122.916316578865,49.2052547988754
2285,-122.91621591574,49.2051755906796
2286,-122.916222339339,49.2051357299834
2288,-122.912790314612,49.2021075002942
2289,-122.912572165282,49.202234666566
2290,-122.912399896165,49.2020893554751
2291,-122.91265344276,49.2019717369266
2292,-122.913718770539,49.2028894367655
2293,-122.913537910815,49.2029809321466
2294,-122.913733415589,49.2028222123325
2296,-122.914655043674,49.2038939016373
2297,-122.914573345894,49.203878371128
2298,-122.914337587463,49.2036842263949
2299,-122.914339474247,49.2036425768613
2300,-122.914606688088,49.2034999743507
2301,-122.914842458957,49.2036869789812
2302,-122.914836881574,49.203761945288
2303,-122.913600844623,49.2027200903443
2304,-122.912701578129,49.2072202191252
2305,-122.91286426952,49.2071412067758
2306,-122.912882497725,49.2071043308262
2307,-122.912591020965,49.2070880450251
2308,-122.912588235261,49.20712314795
2309,-122.912778242394,49.2070031009687
2310,-122.914683102032,49.2087966710607
2311,-122.914840366692,49.2087057520703
2312,-122.914850439976,49.2086569690374
2315,-122.915656221126,49.2095732682044
2316,-122.915497512604,49.2094440374144
2317,-122.915695668859,49.209340056332
2318,-122.915852564815,49.2094663116887
