OBJECTID,Catchment,Comments,DATALOAD,Diameter,Estim_Year,Install_Year,Invert_DN,Invert_UP,Manhole_Down,Manhole_Up,Material,Pipe_Bursted,RefAuto,Relined,Sewer_ID,Sewer_Type,Slope,Total_Length,Original_Material,Original_Diameter,Original_Install_Year,SHAPE.len,_SEWERNAME
5423717,2,,20170309201124,250,0,1981,0,0,2055,2050,PVC,No,10635,No,20502055,STM,0,43.04999924,PVC,250,1981,43.0346973792337,STORM
5423718,9,,20170309201124,200,0,1999,0,0,9235,9236,PVC,No,10634,No,92369235,SAN,0,21,PVC,200,1999,20.9964401744677,SANITARY
5423719,9,,20170309201124,200,0,1999,0,0,9234,9235,PVC,No,10633,No,92359234,SAN,0,9,PVC,200,1999,8.9983220658076,SANITARY
5423720,9,,20170309201124,200,0,1999,0,0,9233,9234,PVC,No,10632,No,92349233,SAN,0,4.5,PVC,200,1999,4.5060514866122,SANITARY
5423721,9,,20170309201124,200,0,1999,0,0,9234,9237,PVC,No,10631,No,92379234,SAN,0,98,PVC,200,1999,98.000500508926,SANITARY
5423722,9, ,20170309201124,200,0,1999,0,0,9232,9233,PVC,No,10630,No,92339232,SAN,0,48.5,PVC,200,1999,48.4991432914026,SANITARY
5423723,9, ,20170309201124,200,0,1999,0,0,9231,9232,PVC,No,10629,No,92329231,SAN,0,106,PVC,200,1999,105.996608436308,SANITARY
5423724,9, ,20170309201124,200,0,1999,0,0,9999,9231,PVC,No,10628,No,92319999,SAN,0,4.5,PVC,200,1999,4.50075549213685,SANITARY
5423725,9,,20170309201124,200,0,2001,0,0,9999,9222,PVC,No,10627,No,92229999,SAN,0,64.97000122,PVC,200,2001,58.2852223097759,SANITARY
5423726,9, ,20170309201124,200,0,2001,0,0,9999,9227,PVC,No,10626,No,92279999,SAN,0,85,PVC,200,2001,85.00016999983,SANITARY
5423727,9,,20170309201124,200,0,2001,0,0,9228,9229,PVC,No,10625,No,92299228,SAN,0,28,PVC,200,2001,27.9966640869944,SANITARY
5423728,9, ,20170309201124,200,0,2001,0,0,9228,9230,PVC,No,10624,No,92309228,SAN,0,26,PVC,200,2001,26.0017480181622,SANITARY
5423729,9,,20170309201124,200,0,2001,0,0,9222,9223,PVC,No,10623,No,92239222,SAN,0,74.95999908,PVC,200,2001,74.9655874385041,SANITARY
5423730,9,,20170309201124,200,0,2001,0,0,9223,9224,PVC,No,10622,No,92249223,SAN,0,45.31999969,PVC,200,2001,45.3192199844613,SANITARY
5423731,9,,20170309201124,200,0,2001,0,0,9224,9225,PVC,No,10621,No,92259224,SAN,0,38,PVC,200,2001,38.2899216504813,SANITARY
5423732,9,,20170309201124,200,0,2000,0,0,9221,9220,PVC,No,10620,No,92209221,SAN,0,83,PVC,200,2000,82.9999548192648,SANITARY
5423733,9,,20170309201124,200,0,2000,0,0,9999,9221,PVC,No,10619,No,92219999,SAN,0,97.98000336,PVC,200,2000,97.9821456012916,SANITARY
5423734,9,,20170309201124,200,0,2000,0,0,9219,9999,PVC,No,10618,No,99999219,SAN,0,5.01000023,PVC,200,2000,5.00371861718862,SANITARY
