BLDG_ID,MAPREF,UNITNUM,STRNUM,STRNAM,BLDGNAM,BLDGAGE,DEVELOPER,ARCHITECT,MOVED
197,653000,,212,AGNES ST,BAINES PLAZA,1961,DAWSON HOLDINGS,SCOTT & FURNADJIEFF,0
196,652000,,214,AGNES ST,THE MALIBU,1960,KEMP & FULTON,"HILTON, N.",0
194,650000,,250,AGNES ST,HOLLY MANOR,1910,R. MONK,"WALLACE, D.B.",0
230,744000,,307,AGNES ST,MARILYN MANOR,1959,W. STONEMAN,"RAPSKE, RALPH",0
231,745000,,309,AGNES ST,RENMAR MANOR,1959,W. STONEMAN,"RAPSKE, RALPH",0
184,642000,,314,AGNES ST,SAINT PETER'S SCHOOL,1953,R.C. CHURCH,"SMITH, ALLEN C.",0
9338,746000,,315,AGNES ST,ROYAL RIDGE APARTMENTS(RIVERSIDE MANOR),1959,RIVERSIDE APARTMENT,"RAPSKE, RALPH",0
233,748000,,321,AGNES ST,PRINCE CHARLES APARTMENT,1953,J. MIKITA,"McNAL, DUNCAN",0
234,749000,,325,AGNES ST,LYNWOOD APARTMENT/HERRING HOME,1902,A.M. HERRING,,0
235,750000,,327,AGNES ST,MAGER APARTMENT,1962,E.N. SOANE,"RAPSKE, RALPH",0
236,751000,,331,AGNES ST,COMERFORD APARTMENTS,1947,W. B. COMERFORD,,0
106,424000,,336,AGNES ST,Pacific Hall (Formerly Dontenwill Hall),1940,R.C. CHURCH,TWIZELL & TWIZELL,0
105,423000,,338,AGNES ST,ARABELLE APARTMENTS,1947,,,0
400,1262000,,403,AGNES ST,THE BUENA VISTA,1961,WALTER LISK,"WYLIE, G. DOUGLAS",0
399,1261000,,407,AGNES ST,ROYAL EAGLE APARTMENTS,1960,WALTER LISK,"WYLIE, G. DOUGLAS",0
429,1329000,,410,AGNES ST,MARSEILLES PLAZA,1975,DORAD CONSTRUCTION,"SARTER, D.M.",0
398,1260000,,411,AGNES ST,MARGO APARTMENT,1959,WALTER LISK,"WYLIE, G. DOUGLAS",0
397,1259000,,423,AGNES ST,THE RIDGEVIEW(A.K.A. COLLEGE PLAZA,1983,Mc LAREN DEVELOPMENT,"LORT, W.R.",0
428,1328000,,428,AGNES ST,SHANDLEY MANOR,1977,DORAD CONSTRUCTION,"SARTER, D.M.",0
396,1255000,,503,AGNES ST,BEL AIR APARTMENT,1958,C.H. BELLHOUSE,"RAPSKE, RALPH",0
426,1325000,,508,AGNES ST,MASONIC HALL,1911,MASONIC LODGE,GARDINER & MERCER,0
427,1325000,,514,AGNES ST,,1950,DR. SPARLING,PERCY UNDERWOOD,0
425,1322000,,518,AGNES ST,,1968,PARAMOUNT MUSIC,L.J. GENNER,0
395,1254000,,525,AGNES ST,AGNES TERRACE,1994,BOHEMIA DEVELOPMENTS,FRED ADAB,0
223,729000,,611,AGNES ST,McKAY BUILDING,1973,,"KATRAMADAKIS, T.A.",0
174,626000,100/201-404,624,AGNES ST,MCKENZIE STEPS,1995,T.A.F. CONSTRUCTION,CREEKSIDE ARCHITECTS,0
176,626000,101-108,624,AGNES ST,MCKENZIE STEPS,1995,T.A.F. CONSTRUCTION,CREEKSIDE ARCHITECTS,0
175,626000,109-113,624,AGNES ST,MCKENZIE STEPS,1995,T.A.F. CONSTRUCTION,CREEKSIDE ARCHITECTS,0
224,730001,,625,AGNES ST,Queen's Court/Royal City Alternate Program,1981,SPRINGER DEVELOPMENT,MUSSON CATTELL,0
213,684000,,805,AGNES ST,,1969,D.V.S. ENTERPRISES,D. G. WYLIE,0
215,694000,,813,AGNES ST,NEWS,2006,RYKON GROUP,ROBERT CICCOZZI,0
156,581001,,820,AGNES ST,,1941,RAY ADAMS,,0
216,694000,,823,AGNES ST,NEWS,2006,RYKON GROUP,ROBERT CICCOZZI,0
149,569000,,828,AGNES ST,THE ROYAL,1992,PCI,PERKINS & CHEUNG,0
217,694000,,833,AGNES ST,NEWS,2006,RYKON GROUP,ROBERT CICCOZZI,0
148,569000,,838,AGNES ST,THE HYACK,1992,PCI,PERKINS & CHEUNG,0
153,574000,,920,AGNES ST,,1942,SINCLAIR MCHINE WRKS,,0
1301,3388000,,306,ALBERTA ST,,1912,G & L BOISSONNEAU,,0
1327,3414000,,307,ALBERTA ST,,1908,W.F. CAMPBELL,,0
1302,3389000,,310,ALBERTA ST,,1908,JAMES HASSARD,,0
1326,3413000,,311,ALBERTA ST,,1927,C. X. CORMIER,,0
1303,3390000,,312,ALBERTA ST,,1992,MANJIT OLK,,0
1325,3412000,,313,ALBERTA ST,,1927,C. X. CORMIER,,0
1304,3391000,,314,ALBERTA ST,,1943,J. HAGERUP,,0
1324,3411000,,315,ALBERTA ST,ROBERT BEST HOUSE,1908,MARGH-ANN BEST,,0
1305,3392000,,316,ALBERTA ST,ARCHIBALD SKELLY HOUSE,1907,MRS. ARCHIE SKELLY,,0
1323,3410000,,317,ALBERTA ST,,1938,F.G. BAXTER,,0
1306,3393000,,318,ALBERTA ST,,1907,J.A. McDONALD,,0
1322,3409000,,319,ALBERTA ST,,1912,DAVID J. LEWIS,,0
1307,3394000,,320,ALBERTA ST,T. RAINFORD HOUSE,1912,J. BARKER,,0
1321,3408000,,321,ALBERTA ST,,1908,G.H. MALLORY,,0
1308,3395000,,322,ALBERTA ST,,1982,M. DIXON,,0
1320,3407000,,323,ALBERTA ST,,1911,JOHN THOMAS,,0
1309,3396000,,324,ALBERTA ST,,1975,J. LESLIE,,0
1319,3406000,,325,ALBERTA ST,,1907,J. HENDERSON,,0
1310,3397000,,326,ALBERTA ST,,1907,WILLIAM LANE,,0
1318,3405000,,327,ALBERTA ST,,1907,A.F. HALE,,0
1311,3398000,,328,ALBERTA ST,,1945,F.G. LACROIX,,0
1317,3404000,,329,ALBERTA ST,J.H. HARE HOUSE,1911,M. R. MEAD,,0
1312,3399000,,330,ALBERTA ST,,1907,M.A. WILLIAMS,E.J. BOUGHEN,0
1316,3403000,,331,ALBERTA ST,,2011,ROBERT YANG,FACADE DESIGN & DEV,0
1313,3400000,,332,ALBERTA ST,BRIDGE VIEW MANOR,1907,WILLIAM LANE,,0
1315,3402000,,333,ALBERTA ST,,1909,C.L. PRESSY,,0
1314,3401000,,335,ALBERTA ST,,1908,F. F. THOMAS,,0
1551,3803000,,338,ALBERTA ST,,1947,K.H. BEST,,0
1581,3834000,,339,ALBERTA ST,,1909,HENRY MATHESON,,0
1552,3804000,,340,ALBERTA ST,,1907,F.W. CARTER,,0
1580,3833000,,341,ALBERTA ST,,1938,R. McGEOWN,,0
11781,3832000,,343,ALBERTA ST,,2015,,Owner,0
1553,3805000,,344,ALBERTA ST,,1912,W. DALYRMPLE,,0
1554,3806000,,346,ALBERTA ST,,1908,J. PELLAND,,0
1577,3830000,,347,ALBERTA ST,,1909,CHARLES W. ERICKSON,,0
1555,3807000,,348,ALBERTA ST,,1909,FERDINAND GOETEZ,,0
1576,3829000,,349,ALBERTA ST,,1953,J. SHYCOSKI,,0
1556,3808000,,350,ALBERTA ST,,1953,M. KULYBA,,0
1575,3828000,,351,ALBERTA ST,,1946,C. JOHNSON,,0
1557,3809000,,352,ALBERTA ST,,1912,W. DALYRMPLE,,0
1574,3827000,,353,ALBERTA ST,,1991,PARMAR CONSTRUCTION,,0
1573,3826000,,355,ALBERTA ST,,1911,CHARLES IRWIN,,0
1572,3825000,,357,ALBERTA ST,D. MUNRO HOUSE,1912,DAVID MUNRO,,0
1558,3810000,,358,ALBERTA ST,,1952,J. MCNENEY,,0
1571,3824000,,359,ALBERTA ST,,1912,A.Y. WILSON,,0
1570,3823000,,361,ALBERTA ST,J. T. MACKIE HOUSE,1912,JAMES T. MACKIE,,0
1559,3811000,,362,ALBERTA ST,,1949,J. KOBERSTEIN,,0
1569,3822000,,363,ALBERTA ST,GEORGE WALKER HOUSE,1912,GEORGE WALKER,,0
1568,3821000,,365,ALBERTA ST,,1987,J. LUM,,0
1567,3820000,,367,ALBERTA ST,,1911,MRS. HOUSE,,0
1560,3813000,,368,ALBERTA ST,,1909,"F.C. CARTER, JR.",,0
1566,3819000,,369,ALBERTA ST,,1946,J. MATHIE,,0
1561,3814000,,370,ALBERTA ST,ALBERT CARTER HOUSE,1911,ALBERT CARTER,,0
1562,3815000,,372,ALBERTA ST,,1946,L. DOYLE,,0
1563,3816000,,374,ALBERTA ST,,1908,N.C. CARTER,,0
1564,3817000,,376,ALBERTA ST,,1946,D.G. ROONEY,,0
1999,4324000,,409,ALBERTA ST,,1933,HUGH MACKIE,,0
2000,4325000,,411,ALBERTA ST,,1953,J. SHYCOSKI,,0
2024,4353000,,412,ALBERTA ST,,1948,J. HIGGANBOTHAM,,0
2001,4326000,,413,ALBERTA ST,,1921,LOUIS CADERETT,,0
2023,4351000,,414,ALBERTA ST,,2002,"HUMMELMAN, ED",NOORT,0
2002,4327000,,415,ALBERTA ST,,1961,WADE BROTHERS,,0
2022,4349001,,416,ALBERTA ST,,1987,COLE-MAR CONSTRUCTN,JENISH HOUSE DESIGN,0
2003,4328000,,417,ALBERTA ST,,1914,M. & A.G. INGLE,,0
2021,4349000,,418,ALBERTA ST,,1912,J.S. WEATHERLY,,0
2004,4329000,,419,ALBERTA ST,THOMAS CORMACK HOUSE,1912,THOMAS CORMACK,,0
2020,4348000,,420,ALBERTA ST,,1948,J. HIGGENBOTHAM,,0
2005,4330000,,421,ALBERTA ST,,1914,J.H. HARE,,0
2006,4331000,,423,ALBERTA ST,,1991,TRI-NICAN ENTERPRISE,,0
2019,4346000,,424,ALBERTA ST,,1948,J. HIGGAN BOTHAM,,0
2007,4332000,,425,ALBERTA ST,ROBERT BLACK HOUSE,1912,A.H. BLACK,,0
2018,4345000,,426,ALBERTA ST,,2002,MR. & MTS. LEFEBVRE,SPECTRUM DESIGN,0
2008,4333000,,427,ALBERTA ST,,1912,WILLIAM WALLACE,,0
2017,4344000,,428,ALBERTA ST,,1912,DANIEL GARNER,,0
2009,4334000,,429,ALBERTA ST,,1961,J. WICKI,,0
2016,4342000,,430,ALBERTA ST,,1931,J. SCHLICHENMAYER,,0
2010,4335001,,431,ALBERTA ST,,1988,SANSHELL INVESTMENTS,JENISH HOUSE DESIGN,0
2014,4340000,,432,ALBERTA ST,,1913,MICHAEL MALONY,,0
2011,4335002,,433,ALBERTA ST,,1988,SANSHELL INVESTMENTS,JENISH HOUSE DESIGN,0
2015,4341000,,434,ALBERTA ST,,1972,A. BARBER,,0
2013,4339000,,436,ALBERTA ST,,1961,WICKI CONSTRUCTION,,0
2012,4338000,,438,ALBERTA ST,,1961,WICKI CONSTRUCTION,,0
1957,4276000,,441,ALBERTA ST,,1963,W. RACANELLO,,0
1956,4275000,,445,ALBERTA ST,,1961,E. NORDMAN,,0
1955,4274000,,447,ALBERTA ST,,1961,E. NORDMAN,,0
1958,4277000,,448,ALBERTA ST,,1961,FRANK SHEPERD,,0
2558,4911000,,601,ALLISON PL,,1975,THE MEADOWS CONSTN,,0
2548,4901000,,602,ALLISON PL,,1974,M.S. GILL,PRANA GROUP,0
2557,4910000,,605,ALLISON PL,,1975,KEN HARDER,,0
2549,4902000,,606,ALLISON PL,,1974,MEDALLION REALTY,MERLIN DESIGNS,0
2556,4909000,,609,ALLISON PL,,1975,MEDALLION REALTY,,0
2550,4903000,,610,ALLISON PL,,1973,MEDALLION REALTY,MERLIN DESIGNS,0
2555,4908000,,611,ALLISON PL,,1974,MEDALLION REALTY,MERLIN DESIGNS,0
2551,4904000,,614,ALLISON PL,,1973,MEDALLION ESTATES,MERLIN DESIGNS,0
2554,4907000,,615,ALLISON PL,,1974,EARL TIGERT,THE BUILDING CENTRE,0
2552,4905000,,618,ALLISON PL,,1975,B. WALJI,,0
2553,4906000,,620,ALLISON PL,,1974,MEDALLION REALTY,MERLIN DESIGNS,0
1834,4153000,,501,AMESS ST,,1940,J. PROTEAU,,0
1835,4154000,,502,AMESS ST,,1980,TERRY DEROUIN,,0
1833,4152000,,503,AMESS ST,,1936,J.B. HOPLAND,,0
11779,4155000,,504,AMESS ST,,2015,,D. Mand Design,0
1832,4151000,,507,AMESS ST,,1926,JAMES HARLAND,,0
1837,4156000,,508,AMESS ST,,1927,HARRY DYER,,0
1831,4150000,,509,AMESS ST,,1945,A.M. MOORE,,0
9322,4157000,,510,AMESS ST,,2012,MANPREET SIDHU,KINGSWAY PLANS,0
1830,4149000,,511,AMESS ST,,1928,R.M. COWAN,,0
1839,4158000,,512,AMESS ST,,1978,ASHK DHILLON,,0
9019,4159000,,514,AMESS ST,,2009,KION DEVELOPMENTS,EATON HOME DESIGNS,0
1829,4148000,,515,AMESS ST,,1988,M. FERREIRA,,0
1841,4160000,,518,AMESS ST,,1953,E. ECKERT,,0
1828,4147000,,519,AMESS ST,,1932,O. ROCHELEAU,,0
1842,4161000,,520,AMESS ST,,1998,HARVEY REEHAL,RAMPAL NOTAY,0
1827,4146000,,521,AMESS ST,,1946,R.J. ENGLES,,0
1843,4162000,,522,AMESS ST,,1998,HARVEY REEHAL,RAMPAL NOTAY,0
1826,4145000,,523,AMESS ST,,1996,D. & J. MALCOLM,,0
1825,4144000,,525,AMESS ST,,1930,S.I. BOWELL,,0
1844,4163000,,526,AMESS ST,,1952,S. NICOL,,0
1824,4143000,,529,AMESS ST,,2002,JAGDISH MANN,BHOGAL DESIGNS,0
1845,4164000,,530,AMESS ST,,1996,,,0
1846,4165000,,532,AMESS ST,,1956,E. NORDMAN,,0
1823,4142000,,533,AMESS ST,,1955,R. HUGHES,,0
1822,4141000,,535,AMESS ST,,1974,C.D. SARLI,,0
1847,4166000,,536,AMESS ST,,1957,E. NORDMAN,,0
1848,4167000,,538,AMESS ST,,1956,M.K. DUNCAN,,0
1821,4140000,,539,AMESS ST,,1948,J. THOMPSON,,0
1820,4139000,,541,AMESS ST,,1956,GEORGE ABBOTT,,0
1849,4168000,,542,AMESS ST,,1956,ROBERT BEST,,0
1850,4169000,,544,AMESS ST,,1955,GLENCO CONSTRUCTION,,0
1819,4138000,,545,AMESS ST,,1956,MARGARET CHRISTIN,,0
1818,4137000,,547,AMESS ST,,1955,R.C. GRAHAM,,0
1851,4170000,,548,AMESS ST,,1955,GLENCO CONSTRUCTION,,0
1817,4136000,,549,AMESS ST,,1956,W. MAHIRNY,,0
1852,4171000,,550,AMESS ST,,1955,J.F. MORRIS,,0
1816,4135000,,551,AMESS ST,,1955,J.L. PEARSON,,0
1853,4172000,,552,AMESS ST,,1956,W. BJURBACK,,0
1854,4173000,,554,AMESS ST,,1955,F. WESTERLUND,,0
1855,4174000,,556,AMESS ST,,1956,E.C. MOULTON,,0
1880,4198000,,558,AMESS ST,,1957,S. CARLSON,,0
9235,5430000,,212,ANTHONY CRT,,2011,JASHODA PATEL,PRECISION CAD DESIGN,0
9118,5431000,,214,ANTHONY CRT,,2011,ALICE BUCHANAN,,0
9137,5437000,,216,ANTHONY CRT,,2010,JASON VANDERZALM,HERTGE CLASSIC HOMES,0
3097,5852000,,222,ANTHONY CRT,,1995,R. KAULFUSS,S. NILAN,0
3098,5853000,,228,ANTHONY CRT,,1995,R. KAULFUSS,,0
3099,5854000,,232,ANTHONY CRT,,1996,R. KAULFUSS,,0
11692,5857000,,234,ANTHONY CRT,,2016,Plans by Design,,0
3137,6016000,,316,ARBUTUS ST,LEDOUX HOUSE,1889,W. GRIEG,,0
3138,6017000,,318,ARBUTUS ST,A.G. MATTHEWS HOUSE,1892,,,0
3139,6018000,,320,ARBUTUS ST,EDWARD FALLON HOUSE,1892,,,0
3488,6523000,,321,ARBUTUS ST,,1937,H.G. AUSTIN,,0
3487,6522000,,323,ARBUTUS ST,,1944,A.J. SHARP,,0
3464,6497000,,324,ARBUTUS ST,,1947,E. MANNERING,,0
3486,6521000,,325,ARBUTUS ST,,1944,H.S. LEISHMAN,,0
3465,6498000,,326,ARBUTUS ST,,1949,WILLIAM MONT,,0
3482,6515000,,327,ARBUTUS ST,,1944,H.E. RORISAN,,0
3481,6514000,,329,ARBUTUS ST,,1941,F.C. SIMPSON,,0
3466,6499000,,330,ARBUTUS ST,,1951,G. FEATHERSTONE,,0
3480,6513000,,331,ARBUTUS ST,,1941,RONALD MANNERING,,0
3479,6512000,,333,ARBUTUS ST,,1937,J.W. HETHERINGTON,,0
3467,6500000,,334,ARBUTUS ST,,1940,R.J. McHEAD,,0
2028,4357000,,220,ARCHER ST,,1964,H.A. LACKNER,,0
2030,4359000,,221,ARCHER ST,,1964,H.A. LACKNER,,0
2053,4382000,,222,ARCHER ST,,1936,MRS. K.L. ROGERS,,0
2054,4383000,,223,ARCHER ST,,1913,JAMES LESSARD,,0
2055,4384000,,225,ARCHER ST,,1944,WILLIAM TACHOLSKY,,0
2052,4381000,,226,ARCHER ST,,1938,S. GREENWOOD,,0
2056,4385000,,229,ARCHER ST,,1913,ORA T. POWERS,,0
2051,4380000,,230,ARCHER ST,,1983,SANSHELL INVESTMENTS,JENISH HOUSE DESIGN,0
2050,4379000,,232,ARCHER ST,,1945,J. MATHIE,,0
2057,4386000,,233,ARCHER ST,,1925,O.T. POWERS,,0
2058,4387000,,237,ARCHER ST,,1944,A. PACHNELL,,0
2044,4372000,,306,ARCHER ST,,1986,PEARCE,HALLMARK DESIGN,0
2060,4389000,,307,ARCHER ST,,1935,K. LUND,,0
2043,4371000,,310,ARCHER ST,,1993,INDERSIT SIDHU,,0
2061,4390000,,313,ARCHER ST,,1941,C. & S. LUND,,0
2042,4370000,,314,ARCHER ST,,1953,L. LEVASSEUR,,0
2062,4391000,,315,ARCHER ST,,1911,,,0
2063,4392000,,319,ARCHER ST,,1952,S.F. HANNAH,,0
323,1017000,,109,ASH ST,,1939,MRS. M.E. BUTTERS,,0
324,1018000,,111,ASH ST,,1974,R. ZINTEL,,0
325,1019000,,113,ASH ST,,1890,BENJAMIN NORTH,,0
326,1020000,,115,ASH ST,,1889,BENJAMIN NORTH,,0
2898,5497000,,202,ASH ST,,1953,M. POTTER,,0
2887,5484000,,211,ASH ST,CHERLYN APARTMENT,1969,W.K. ROWLAND,ROBERT STUBBS,0
2899,5498000,,212,ASH ST,,1948,H. LEVERS,,0
2900,5499000,,214,ASH ST,,1885,A.W. DEAN,"GRANT, G.W.",1912
3047,5792000,,221,ASH ST,PENNY LANE,1994,ACTUAL HOMES,RAMSAY WORDEN ARCH.,0
3036,5772000,,222,ASH ST,RISHON MANOR,1968,F&J INVESTMENTS,"HANSEN, POUL E.",0
3048,5794000,,227,ASH ST,,1941,MORRIS HUDSON,,0
3049,5795000,,229,ASH ST,,1939,A. FADDEAU,,0
3037,5775000,,230,ASH ST,DAVIS MANOR,1966,DEN-TON HOLDINGS,"HARVEY, JOHN",0
3276,6200000,,308,ASH ST,,1940,RAY HENDERSON,,0
3277,6201000,,310,ASH ST,,1938,H. HARGREAVES,,0
3261,6181001,,311,ASH ST,CEDARVILLE APARTMENTS,1979,GATEWAY REALTY,"RAPSKE, RALPH",0
3278,6202000,,312,ASH ST,,1937,FRED KALLEY,,0
3279,6203000,,314,ASH ST,,1938,PERCIVAL WEAVER,,0
3262,6184000,,315,ASH ST,,1940,MRS. J. H. MCLEOD,,0
3280,6204000,,316,ASH ST,,1937,R. & H. LOFTHOUSE,,0
3281,6205000,,318,ASH ST,,1939,MRS. MCLEOD,,0
3263,6185001,,319,ASH ST,,1913,ROBERT TYRIE,,0
3282,6206000,,320,ASH ST,,1936,"MARKIN, KALLEY LTD.",,0
3264,6186000,,321,ASH ST,,1941,R. RAE,,0
3423,6442000,,322,ASH ST,,1911,E. WALSH,,0
3425,6449000,,323,ASH ST,,1909,A.M. PARSONS,,0
3426,6450000,,325,ASH ST,MAGNOLIA MANOR,1967,LAUKKANEN,LORT & LORT,0
3424,6445000,,330,ASH ST,CASA BERNELLO,1968,R.L.B. HOLDINGS,"GENNER, L.J.E.",0
3665,6791000,,409,ASH ST,THE RIVIERA,1966,EDGEWATER CONSTRUCT.,"RAPSKE, RALPH",0
3666,6794000,,413,ASH ST,,1926,MRS. LINDSAY,,0
3667,6795000,,417,ASH ST,,1927,MRS. A. MOORE,,0
3674,6808000,,420,ASH ST,THE CEDARAMA,1969,HARDER CONSTRUCTION,L. J. GENNER,0
3668,6796000,,421,ASH ST,,1911,W. HUTCHESON,"LORD, JAMES",0
3818,7047000,,425,ASH ST,ASHINGTON COURT,1973,BOSA BROTHERS,"LUND, L.O.",0
3812,7032000,,430,ASH ST,CUDWORTH MANOR,1966,DEN TON HOLDINGS,"HARVEY, JOHN",0
3817,7044000,,435,ASH ST,COLONIAL HOUSE,1965,EDGEWATER CONSTRUCT.,"COLE, PETER",0
3807,7027000,,436,ASH ST,CAPRI VILLA,1961,B. STARINOVICH,PETER KAFFKA,0
4635,8606000,,511,ASH ST,NASSAU HOUSE,1959,NASSAU HOUSE LTD.,"MacILROY, JOHN",0
4647,8644000,,512,ASH ST,ASH MANOR,1959,McMILLAN APARTMENTS,"MENZIES, ALLEN",0
4646,8640000,,516,ASH ST,THE AMBASSADOR,1967,MR.F. MARCHIONI,"KAFFKA, PETER",0
4644,8637000,,522,ASH ST,ASHWOOD COURT,1960,TED MOULTON,"UNDERWOOD,McKINLEY",0
4640,8622000,,527,ASH ST,WESTWOOD TOWERS,1961,CRESTON CONSTIN,"RAPSKE, RALPH",0
369,1106000,,1002,AUCKLAND ST,,1960,W.G. COPPING,"NICOL, J.D.",0
379,1128000,,1009,AUCKLAND ST,,1907,,,0
380,1129000,,1011,AUCKLAND ST,,1907,,,0
370,1107000,,1012,AUCKLAND ST,,1962,BOYES & ROSSER,,0
381,1130001,,1013,AUCKLAND ST,,1996,GEORGE CARGILL,GEORGE CARGILL,0
368,1103000,,1026,AUCKLAND ST,,1953,H. YOUNG,,0
385,1136000,,1035,AUCKLAND ST,QUEEN'S TERRACE,1995,DE COTIIS MANAGEMENT,H.R. HATCH,0
7266,12489025,,1217,BASRAN AVE,,1998,MILHORNE ENTERPRISES,DHILLON DRAFTING,0
7270,12489030,,1220,BASRAN AVE,,1997,SOHAN SIHOTA,VIKRAM SINGH,0
7265,12489024,,1225,BASRAN AVE,,1998,MILHORNE ENTERPRISES,RANDEEP SARAI,0
7271,12489031,,1226,BASRAN AVE,,2003,LIDDER,SIMPLEX,0
7258,12489013,,1230,BASRAN AVE,,1998,MILHORNE ENTERPRISES,RANDEEP SARAL,0
7293,12489054,,1233,BASRAN AVE,,1999,HARDEV CHANE,VIKRAM SINGH,0
7259,12489014,,1236,BASRAN AVE,,1997,SARBJIT SALL,VIKRAM SINGH,0
7292,12489053,,1239,BASRAN AVE,,1998,KAMALJIT SALL,RANDEEP SARAI,0
7291,12489052,,1253,BASRAN AVE,,1998,JOGA SALL,RANDEEP SALL,0
7290,12489051,,1255,BASRAN AVE,,2004,LUSHKAR SALL,TOORA HOME PLANS,0
9009,229000,,14,BEGBIE ST,THE INTERURBAN,2009,BALLENAS PROJECT MGT,H.R. HATCH,0
70,354000,,40,BEGBIE ST,,1973,ROYAL CANADAN LEGION,MORRIS KENTON,0
72,356000,,48,BEGBIE ST,ARUNDAL MANSIONS,1912,G. ALERSLANKEY,THORNTON & JONES,0
3700,6855001,,1005,BELLEVILLE ST,,1997,DENNIS MARCHAND,LIONEL BURTON,0
9353,8575000,,608,BELMONT ST,THE VICEROY BUILDING A,2013,BLUE SKY PROPERTIES,CHRIS DIKEAKOS,0
4628,8585000,,615,BELMONT ST,THE BELMONT TOWERS,1984,DAYHU INVESTMENTS,"HANSEN, POUL E.",0
4155,7862000,,707,BELYEA ST,,1941,R. SCHAUG,,0
3655,6778000,,403,BENT CRT,,1911,,,0
3654,6777000,,607,BENT CRT,,1936,"MORKIN, KALLEY LTD.",,0
3653,6776000,,609,BENT CRT,,1911,R. BEHARRELL,,0
3652,6775000,,611,BENT CRT,,1913,H.S. BEHARRELL,,0
3651,6774000,,614,BENT CRT,,1911,"BENT, H.",,0
590,1612002,,33,BLACKBERRY DR,,1994,VANCITY ENTERPRISES,HAMILTON DOYLE,0
587,1611000,,55,BLACKBERRY DR,QUEEN'S PARK PLACE,1994,VANCITY ENTERPRISES,HAMILTON DOYLE,0
589,1612001,,95,BLACKBERRY DR,WILLIAM RUDD HOUSE,1995,PACIFIC HEALTH CARE,NIELSEN PERRETEN,0
3254,6174000,,503,BLACKFORD ST,,1900,,,0
3253,6173000,,507,BLACKFORD ST,Wilmot Cottage,1902,A.P. GRANT,,0
3232,6136000,,610,BLACKFORD ST,KEY MANOR,1968,ASHWOOD CONSTRUCTION,"GENNER, L.J.E.",0
8960,6134000,,611,BLACKFORD ST,MAYMOUNT MANOR,1965,DEN-TON HOLDINGS,"HARVEY, JOHN",0
3226,6125000,,620,BLACKFORD ST,DEERWOOD COURT,1983,Q.R.S. ENTERPRIZES,"CHINS, RAYMOND",0
8119,13935000,,310,BLACKLEY ST,,1915,,,0
8112,13922001,,322,BLACKLEY ST,,1958,FRANK GROSSMAN,,0
8111,13922000,,324,BLACKLEY ST,,1965,L. PAZURIK,,0
8105,13886000,,335,BLACKLEY ST,,1956,E.K. KAUR,,0
6772,11549000,,202,BLACKMAN ST,,1948,R. MERCER,,0
9307,11548000,,206,BLACKMAN ST,,2012,K & R YADAV,EXACT DRAFTING,0
6774,11551000,,207,BLACKMAN ST,,1913,,,0
6770,11547000,,208,BLACKMAN ST,,1953,W. TUNSCHEL,,0
6775,11552000,,209,BLACKMAN ST,,1983,STEPHEN POPE,,0
6776,11553000,,211,BLACKMAN ST,,1957,R. MOWAT,,0
