BLOCK,YEAR,NGBRHOOD,NUMBLDGS_HA,RESUNIT_HA,FLRSPCE_HA,TTLSPCES_HA
W-087,1866,3,,,,
C-003,1875,B,,,,
S-064,1906,9,,,,
U-075,1897,6,2.90712338701102,2.90712338701102,0.030843191275482,
W-012,1921,2,,,,
U-022,1861,5,,,,
W-057,1864,3,,,,
U-034,1896,5,3.42333512968371,3.42333512968371,0.0494867289128477,
S-058,1898,9,3.71525216749128,2.47683477832752,0.106205138790229,
W-051,1933,3,1.96728148172015,1.96728148172015,0.0317099619845989,2.62304197562687
Q-001,1880,1,,,,
U-019,1926,5,11.7065385280213,11.0561752764646,0.174343921653379,1.30072650311348
U-053,1864,6,,,,
U-093,1881,7,,,,
U-003,1903,4,,,,
S-051,1866,9,,,,
W-020,1929,2,,,,
U-077,1932,7,13.3820160777707,13.0203399675607,0.273224869964921,13.0203399675607
W-021,1874,2,,,,
W-065,1922,B,,,,
W-026,1878,2,,,,
U-057,1918,C,9.32199450886496,6.83612930650097,0.183797048926362,0.621466300590997
U-011,1895,5,2.56901404934605,2.56901404934605,0.0439867173833248,0.51380280986921
W-098,1864,3,,,,
S-023,1936,8,,,,
W-053,1939,3,9.14567755758911,9.14567755758911,0.167334641729734,9.14567755758911
U-017,1883,5,,,,
W-102,1911,B,,,,
W-073,1920,3,3.12514543923728,3.12514543923728,0.0951574230045139,
C-041,1882,D,2.01882394721878,,0.155407908248191,
C-040,1918,D,15.9831769185633,16.4675156130652,0.30879310261035,
U-013,1920,4,7.38177737316738,7.38177737316738,0.131945854258799,0.820197485907486
C-018,1890,D,30.9350579759925,30.9350579759925,0.381489409402405,
U-012,1906,B,4.76801796392627,3.81441437114101,0.104583605122314,
U-081,1900,7,5.10285374895144,5.10285374895144,0.15341511438732,
W-096,1887,3,,,,
S-009,1917,E,,,,
W-102,1937,B,,,,
W-027,1893,2,,,,
S-031,1874,8,,,,
W-093,1897,3,0.832862507829032,0.832862507829032,0.0128056329309811,
U-035,1897,5,7.21590919933316,7.73133128499982,0.103688572326662,
S-040,1896,8,,,,
C-037,1907,E,,,,
W-057,1880,3,,,,
U-075,1889,6,,,,
U-040,1919,C,10.2164856490186,9.8380972916475,0.182398759293225,
W-013,1887,2,,,,
U-072,1867,6,,,,
W-083,1927,B,,,,
W-049,1901,3,,,,
S-051,1877,9,,,,
Q-002,1901,1,,,,
U-020,1876,5,,,,
W-101,1915,B,1.17356017609263,1.17356017609263,0.0129742440637045,
U-059,1913,C,5.09763994776016,3.1860249673501,0.166429975536162,0.63720499347002
U-020,1878,5,,,,
S-002,1906,8,,,,
U-035,1875,5,,,,
S-031,1886,8,,,,
U-090,1905,6,,,,
Q-035,1882,1,,,,
U-034,1895,5,3.42333512968371,3.42333512968371,0.0494867289128477,
U-034,1893,5,2.662593989754,2.662593989754,0.043306188433801,
Q-012,1896,1,,,,
