OBJECTID,BEND_ID,X,Y
441309,,-122.926350892759,49.1923172855511
441310,,-122.927867847518,49.1938845530488
441311,,-122.927884515249,49.1939017301141
441312,,-122.944415382163,49.187269517986
441313,,-122.944417484844,49.1872496951033
441314,,-122.912916342638,49.2249675794276
441315,,-122.924864262973,49.2031912315875
441316,,-122.927956717595,49.2054641024875
441317,,-122.927975183362,49.2054691279814
441318,,-122.93771432485,49.2133706511152
441319,,-122.937703501443,49.2134052240462
441320,,-122.936887728035,49.2127525475843
441321,,-122.936918882097,49.2127572385517
441322,,-122.936133960678,49.2120836028261
441323,,-122.936133537444,49.2121009203151
441324,,-122.935990561348,49.2120664054226
441325,,-122.935998971246,49.2120386947094
441326,,-122.935494757945,49.211595737341
441327,,-122.935551297069,49.2115781246477
441328,,-122.935477012225,49.2116058597197
441329,,-122.93547423058,49.2116184479681
441330,,-122.934621122603,49.2108800723069
441331,,-122.934621165168,49.2108863177588
441332,,-122.934586302654,49.2109055614283
441333,,-122.934574962132,49.2109041715303
441334,,-122.934161224945,49.210555745963
441335,,-122.934161776853,49.2105609410562
441336,,-122.932262298156,49.2090048397655
441337,,-122.932241161501,49.2090029212663
441338,,-122.932205109708,49.2090216777801
441339,,-122.932203205988,49.2090373338645
441340,,-122.931429481909,49.2083336325134
441341,,-122.931447258308,49.2082970978955
441342,,-122.906154399448,49.2119354086977
441343,,-122.906151483529,49.211930848417
441344,,-122.898669957736,49.2295343645583
441345,,-122.898571296769,49.2295866438747
441346,,-122.89858286995,49.2296779433205
441347,,-122.898659995257,49.2297407025613
441348,,-122.892665967795,49.2205080310229
441349,,-122.892670442665,49.2204556763923
441350,,-122.892111534885,49.220438577444
441351,,-122.934602806729,49.2133865855464
441352,,-122.93460898225,49.213364096337
441353,,-122.934553039431,49.2133203304862
441354,,-122.934518003165,49.2133180312249
441355,,-122.932751981461,49.2142921825647
441356,,-122.932761458095,49.2142469670006
441357,,-122.932896827842,49.2143560523436
441358,,-122.932827113156,49.214349868046
441359,,-122.915407939664,49.2004953749188
441360,,-122.898877665257,49.2121131950109
441361,,-122.898482622237,49.2138226443872
441362,,-122.898333199385,49.2139498663946
441363,,-122.898275460372,49.2139549374754
441364,,-122.89831264731,49.2148353502394
441365,,-122.898340147118,49.2149241371895
441366,,-122.898454441925,49.2149732062384
441367,,-122.898590823606,49.2149544323609
