OBJECTID,Location,POINT_X,POINT_Y,INTID,X,Y
81,"COLUMBIA ST, BEGBIE ST",506528.3159,5449896.4068,INT454,-122.910382607005,49.2018289492015
82,WILSON ST,508188.1072,5453348.6582,INT769,-122.887527438769,49.2328629182149
83,"SANGSTER PL, MCBRIDE BLVD",506317.5039,5452296.9436,INT589,-122.913238741733,49.2234246426071
84,TWENTY-FIRST ST,503882.5613,5449618.5474,INT535,-122.94670484125,49.199351990616
85,"GLOVER AVE, SECOND ST",505792.1921,5452091.4554,INT216,-122.920456055437,49.2215814161908
86,BOYD ST,504016.1756,5448753.7242,INT82,-122.944879389522,49.1915717802549
87,"SEVENTH AVE, FIFTH ST",505774.2161,5451378.6086,INT157,-122.920713176628,49.2151693394189
88,"E COLUMBIA ST, MAJOR ST",507807,5452998.573,INT755,-122.89276916698,49.2297187964665
89,"THIRD AVE, ELEVENTH ST",505565.4904,5450125.882,INT407,-122.923596591276,49.2039026441716
90,"EWEN AVE, JOHNSTON ST",504771.0543,5448728.4601,INT57,-122.934519248917,49.191339112636
91,"ROYAL AVE, FOURTH ST",506672.2891,5450478.396,INT677,-122.908396549132,49.2070625574421
92,MCGILLVRAY PL,504189.8203,5448575.0162,INT930,-122.942498040871,49.1899630838525
93,"GARFIELD ST, WINTHROP ST",507533.6221,5453265.676,INT526,-122.89651904681,49.2321248765463
94,"FRONT ST, BEGBIE ST",506573.6238,5449841.4882,INT246,-122.909761542896,49.2013344562398
95,"FOURTH AVE, EIGHTH ST",505804.9226,5450609.7071,INT42,-122.920302659548,49.2082525678553
96,"E ROYAL AVE, ROSS DR",507394.4443,5451211.6392,INT16,-122.898468634004,49.2136499919069
97,"SECOND ST, NINTH AVE",505834.4001,5452040.0908,INT215,-122.919877162193,49.2211189776091
98,"DUBLIN ST, TWELFTH ST",504662.5784,5451020.5222,INT390,-122.935981426854,49.2119577220222
99,"CHURCHILL AVE, YORK ST",506658.8563,5452675.6721,INT569,-122.908544507333,49.2268277849552
100,BOYD ST,504447.7532,5449041.6857,INT892,-122.938952953415,49.1941591042752
101,"ROYAL AVE, ASH ST",506261.9644,5450149.3212,INT674,-122.914034996771,49.2041067662289
102,"CUNNINGHAM ST, FOURTH ST",506713.9746,5450427.4846,INT678,-122.907825103509,49.2066041398123
103,"STEWARDSON WAY, FIFTH AVE",504821.4631,5450127.4718,INT669,-122.933810618919,49.2039232496337
104,"E EIGHTH AVE, MCBRIDE BLVD",506410.4848,5452190.6473,INT588,-122.911963491349,49.2224675139574
105,MCBRIDE BLVD,506318.1999,5452282.32,INT586,-122.913229413568,49.2232930923964
106,"AGNES ST, FIRST ST",507151.2941,5450717.9788,INT484,-122.901816061109,49.2092122686116
107,"SOUTH DYKE RD, GIFFORD ST",503807.5879,5447487.3981,INT101,-122.94775417607,49.1801821004689
108,"SINCLAIR AVE, SECOND ST",505860.153,5452008.8901,INT224,-122.919523958024,49.2208380733065
109,SPRICE ST,504250.2855,5447774.9449,INT99,-122.941676663822,49.1827657703889
110,"E EIGHTH AVE, MCBRIDE BLVD",506414.9662,5452184.0648,INT595,-122.911902052691,49.2224082557547
111,"BEGBIE ST, QUAYSIDE DR",506591.7735,5449815.8332,INT245,-122.909512816916,49.2011034871521
112,K DE K CRT,506143.8382,5449532.6573,INT907,-122.915666078449,49.1985608902777
113,COLLEGE CRT,506839.8335,5451026.5879,INT719,-122.906087005877,49.21199184792
114,"AGNES ST, FOURTH ST",506748.7637,5450385.0678,INT963,-122.907348204055,49.2062222066303
115,"SECOND ST, SANDRINGHAM AVE",505886.8894,5451976.6732,INT223,-122.919157266694,49.2205480174754
116,"FOURTH AVE, ARBUTUS ST",506598.7273,5451264.6743,INT429,-122.909393548827,49.2141361438242
117,"FADER ST, SHERBROOKE ST",507991.8546,5452793.1546,INT544,-122.890234247465,49.2278686235837
118,"MCBRIDE BLVD, E EIGHTH AVE, EIGHTH AVE",506408.9181,5452184.6941,INT587,-122.911985102239,49.2224139797859
119,"STEWARDSON WAY, MARINE WAY",504305.58,5449903.1,INT898,-122.940895099255,49.2019088005955
120,"EIGHTH ST, KENNEDY ST",505875.5806,5450524.1029,INT41,-122.919333830629,49.2074818605229
121,"EDINBURGH ST, TWELFTH ST",504729.605,5450939.3357,INT389,-122.935062089084,49.2112269130553
122,"DICKENSON ST, FOURTH ST, VICTORIA ST",506784.3963,5450343.3912,INT467,-122.906859719381,49.2058469204289
123,PIER PL,503347.8759,5447204.9209,INT23,-122.954064464411,49.1776438052276
124,"HARVEY ST, FISHER ST",507117.7398,5452200.8408,INT324,-122.90225044595,49.222551396388
125,"MCBRIDE BLVD, EIGHTH AVE",506402.6575,5452185.3172,INT591,-122.912071070206,49.2224196502082
126,"RICHMOND ST, KWANTLEN CT",507437.263,5451881.3324,INT503,-122.897868290437,49.2196735400128
127,"MCBRIDE BLVD, EIGHTH AVE",506407.5258,5452179.4035,INT594,-122.912004307437,49.2223664040432
128,GINGER DR,506953.2859,5451633.6811,INT632,-122.90451875449,49.2174515367897
129,"JOHNSTON ST, BOYD ST, FENTON ST",504448.7196,5449024.0554,INT103,-122.938939884425,49.1940005072951
130,"RIVER DR, TWENTY-FIRST ST",503935.8718,5449537.3297,INT536,-122.945973854565,49.1986210729893
131,CAPILANO WAY,508450.842,5452326.8114,INT540,-122.883940030175,49.2236675903919
132,"OVENS AVE, SECOND ST",505926.9222,5451927.9701,INT225,-122.918608229322,49.2201095342574
133,"FIFTH AVE, LOUELLEN ST",505235.7663,5450426.2819,INT409,-122.928119144226,49.2066077332392
134,"SIXTH AVE, FIFTH ST",505892.6125,5451229.2239,INT455,-122.919089648791,49.2138244561335
135,"QUEENS AVE, ELEVENTH ST",505710.274,5449950.2348,INT406,-122.9216114921,49.2023213148226
136,"SECOND ST, OSBORNE AVE",505940.3937,5451911.7635,INT218,-122.918423471381,49.219963621133
137,"WINTHROP ST, ELMER ST",507544.5017,5453228.1936,INT34,-122.896370311409,49.2317875794565
138,"CARNARVON ST, FOURTH ST",506819.2653,5450300.2005,INT645,-122.90638175088,49.2054580208812
139,"BRUNETTE AVE, ALLEN ST",508141.5165,5452629.4237,INT616,-122.888182013333,49.226393852768
140,ARBUTUS ST,506667.4472,5451181.2519,INT431,-122.908451349929,49.2133849927898
141,"SALTER ST, HOLLY AVE",505394.3608,5448800.4127,INT28,-122.925963665684,49.1919811816399
142,"YORK ST, JACKSON CR",506767.4256,5452540.7345,INT329,-122.907055650316,49.225612797306
143,"EIGHTH AVE, TWELFTH ST",504796.4099,5450858.4608,INT286,-122.934145818605,49.210498901355
144,"THIRD AVE, EIGHTH ST",505946.0587,5450438.7167,INT39,-122.91836749841,49.2067131076944
145,"MCDONALD ST, WINTHROP ST",507566.5797,5453201.4647,INT33,-122.896067557553,49.2315468741763
146,"AMESS ST, WINTHROP ST",507491.5171,5453276.2564,INT690,-122.897097197509,49.2322205663879
147,RICHMOND ST,507374.34,5451931.33,INT501,-122.898731455936,49.2201240420772
148,"CLARKSON ST, FOURTH ST",506861.728,5450251.0238,INT965,-122.905799643052,49.2050151885949
149,"E COLUMBIA ST, WARD ST",507806.2283,5452958.52,INT756,-122.89278054609,49.2293585199066
150,"FIFTH AVE, FIFTH ST",506030.162,5451081.6277,INT194,-122.917203201973,49.2124954496056
151,"EIGHTH AVE, SECOND ST",505993.9055,5451846.7597,INT221,-122.917689591782,49.2193783735514
152,"E EIGHTH AVE, YORK ST",506797.6558,5452502.9964,INT330,-122.906641106521,49.2252729988066
153,"KINGSTON ST, TWELFTH ST",504831.5903,5450815.8074,INT287,-122.933663309262,49.2101149456385
154,ECKERT AVE,503449.116,5447815.381,INT77,-122.952670133566,49.1831345349642
155,HOLLY AVE,505408.4797,5448778.1218,INT29,-122.925770187275,49.19178054374
156,MCBRIDE BLVD,506526.858,5452041.634,INT593,-122.91036774048,49.221125871804
157,"E EIGHTH AVE, WINTHROP ST",507604.1715,5453154.5039,INT827,-122.895552098459,49.231123984839
158,"RICHMOND ST, SEYMOUR CRT",507381.6246,5451915.8053,INT637,-122.898631705529,49.219984305656
