BLDG_ID,MAPREF,UNITNUM,STRNUM,STRNAM
1563,3816000,,374,ALBERTA ST
1564,3817000,,376,ALBERTA ST
1999,4324000,,409,ALBERTA ST
2000,4325000,,411,ALBERTA ST
2024,4353000,,412,ALBERTA ST
2001,4326000,,413,ALBERTA ST
2023,4351000,,414,ALBERTA ST
2002,4327000,,415,ALBERTA ST
2022,4349001,,416,ALBERTA ST
2003,4328000,,417,ALBERTA ST
2021,4349000,,418,ALBERTA ST
2004,4329000,,419,ALBERTA ST
2020,4348000,,420,ALBERTA ST
2005,4330000,,421,ALBERTA ST
2006,4331000,,423,ALBERTA ST
2019,4346000,,424,ALBERTA ST
2007,4332000,,425,ALBERTA ST
2018,4345000,,426,ALBERTA ST
2008,4333000,,427,ALBERTA ST
2017,4344000,,428,ALBERTA ST
2009,4334000,,429,ALBERTA ST
2016,4342000,,430,ALBERTA ST
2010,4335001,,431,ALBERTA ST
2014,4340000,,432,ALBERTA ST
2011,4335002,,433,ALBERTA ST
2015,4341000,,434,ALBERTA ST
2013,4339000,,436,ALBERTA ST
2012,4338000,,438,ALBERTA ST
1957,4276000,,441,ALBERTA ST
1956,4275000,,445,ALBERTA ST
1955,4274000,,447,ALBERTA ST
1958,4277000,,448,ALBERTA ST
2558,4911000,,601,ALLISON PL
2548,4901000,,602,ALLISON PL
2557,4910000,,605,ALLISON PL
2549,4902000,,606,ALLISON PL
2556,4909000,,609,ALLISON PL
2550,4903000,,610,ALLISON PL
2555,4908000,,611,ALLISON PL
2551,4904000,,614,ALLISON PL
2554,4907000,,615,ALLISON PL
2552,4905000,,618,ALLISON PL
2553,4906000,,620,ALLISON PL
1834,4153000,,501,AMESS ST
1835,4154000,,502,AMESS ST
1833,4152000,,503,AMESS ST
11779,4155000,,504,AMESS ST
1832,4151000,,507,AMESS ST
1837,4156000,,508,AMESS ST
1831,4150000,,509,AMESS ST
9322,4157000,,510,AMESS ST
1830,4149000,,511,AMESS ST
1839,4158000,,512,AMESS ST
9019,4159000,,514,AMESS ST
1829,4148000,,515,AMESS ST
1841,4160000,,518,AMESS ST
1828,4147000,,519,AMESS ST
1842,4161000,,520,AMESS ST
1827,4146000,,521,AMESS ST
1843,4162000,,522,AMESS ST
1826,4145000,,523,AMESS ST
1825,4144000,,525,AMESS ST
1844,4163000,,526,AMESS ST
1824,4143000,,529,AMESS ST
1845,4164000,,530,AMESS ST
1846,4165000,,532,AMESS ST
1823,4142000,,533,AMESS ST
1822,4141000,,535,AMESS ST
1847,4166000,,536,AMESS ST
1848,4167000,,538,AMESS ST
1821,4140000,,539,AMESS ST
1820,4139000,,541,AMESS ST
1849,4168000,,542,AMESS ST
1850,4169000,,544,AMESS ST
1819,4138000,,545,AMESS ST
1818,4137000,,547,AMESS ST
1851,4170000,,548,AMESS ST
1817,4136000,,549,AMESS ST
1852,4171000,,550,AMESS ST
1816,4135000,,551,AMESS ST
1853,4172000,,552,AMESS ST
1854,4173000,,554,AMESS ST
1855,4174000,,556,AMESS ST
1880,4198000,,558,AMESS ST
9235,5430000,,212,ANTHONY CRT
9118,5431000,,214,ANTHONY CRT
9137,5437000,,216,ANTHONY CRT
3097,5852000,,222,ANTHONY CRT
3098,5853000,,228,ANTHONY CRT
3099,5854000,,232,ANTHONY CRT
11692,5857000,,234,ANTHONY CRT
3137,6016000,,316,ARBUTUS ST
3138,6017000,,318,ARBUTUS ST
3139,6018000,,320,ARBUTUS ST
3488,6523000,,321,ARBUTUS ST
3487,6522000,,323,ARBUTUS ST
3464,6497000,,324,ARBUTUS ST
3486,6521000,,325,ARBUTUS ST
3465,6498000,,326,ARBUTUS ST
3482,6515000,,327,ARBUTUS ST
3481,6514000,,329,ARBUTUS ST
3466,6499000,,330,ARBUTUS ST
3480,6513000,,331,ARBUTUS ST
3479,6512000,,333,ARBUTUS ST
3467,6500000,,334,ARBUTUS ST
2028,4357000,,220,ARCHER ST
2030,4359000,,221,ARCHER ST
2053,4382000,,222,ARCHER ST
2054,4383000,,223,ARCHER ST
2055,4384000,,225,ARCHER ST
2052,4381000,,226,ARCHER ST
2056,4385000,,229,ARCHER ST
2051,4380000,,230,ARCHER ST
2050,4379000,,232,ARCHER ST
2057,4386000,,233,ARCHER ST
2058,4387000,,237,ARCHER ST
2044,4372000,,306,ARCHER ST
2060,4389000,,307,ARCHER ST
2043,4371000,,310,ARCHER ST
2061,4390000,,313,ARCHER ST
2042,4370000,,314,ARCHER ST
2062,4391000,,315,ARCHER ST
2063,4392000,,319,ARCHER ST
323,1017000,,109,ASH ST
324,1018000,,111,ASH ST
325,1019000,,113,ASH ST
326,1020000,,115,ASH ST
2898,5497000,,202,ASH ST
2887,5484000,,211,ASH ST
2899,5498000,,212,ASH ST
2900,5499000,,214,ASH ST
3047,5792000,,221,ASH ST
3036,5772000,,222,ASH ST
3048,5794000,,227,ASH ST
3049,5795000,,229,ASH ST
3037,5775000,,230,ASH ST
3276,6200000,,308,ASH ST
3277,6201000,,310,ASH ST
3261,6181001,,311,ASH ST
3278,6202000,,312,ASH ST
3279,6203000,,314,ASH ST
3262,6184000,,315,ASH ST
3280,6204000,,316,ASH ST
3281,6205000,,318,ASH ST
3263,6185001,,319,ASH ST
3282,6206000,,320,ASH ST
3264,6186000,,321,ASH ST
3423,6442000,,322,ASH ST
3425,6449000,,323,ASH ST
3426,6450000,,325,ASH ST
3424,6445000,,330,ASH ST
3665,6791000,,409,ASH ST
3666,6794000,,413,ASH ST
3667,6795000,,417,ASH ST
3674,6808000,,420,ASH ST
3668,6796000,,421,ASH ST
3818,7047000,,425,ASH ST
3812,7032000,,430,ASH ST
3817,7044000,,435,ASH ST
3807,7027000,,436,ASH ST
4635,8606000,,511,ASH ST
4647,8644000,,512,ASH ST
4646,8640000,,516,ASH ST
4644,8637000,,522,ASH ST
4640,8622000,,527,ASH ST
369,1106000,,1002,AUCKLAND ST
379,1128000,,1009,AUCKLAND ST
380,1129000,,1011,AUCKLAND ST
370,1107000,,1012,AUCKLAND ST
381,1130001,,1013,AUCKLAND ST
368,1103000,,1026,AUCKLAND ST
385,1136000,,1035,AUCKLAND ST
7266,12489025,,1217,BASRAN AVE
7270,12489030,,1220,BASRAN AVE
7265,12489024,,1225,BASRAN AVE
7271,12489031,,1226,BASRAN AVE
7258,12489013,,1230,BASRAN AVE
7293,12489054,,1233,BASRAN AVE
7259,12489014,,1236,BASRAN AVE
7292,12489053,,1239,BASRAN AVE
7291,12489052,,1253,BASRAN AVE
7290,12489051,,1255,BASRAN AVE
9009,229000,,14,BEGBIE ST
70,354000,,40,BEGBIE ST
72,356000,,48,BEGBIE ST
3700,6855001,,1005,BELLEVILLE ST
9353,8575000,,608,BELMONT ST
4628,8585000,,615,BELMONT ST
4155,7862000,,707,BELYEA ST
3655,6778000,,403,BENT CRT
3654,6777000,,607,BENT CRT
3653,6776000,,609,BENT CRT
3652,6775000,,611,BENT CRT
3651,6774000,,614,BENT CRT
590,1612002,,33,BLACKBERRY DR
587,1611000,,55,BLACKBERRY DR
589,1612001,,95,BLACKBERRY DR
3254,6174000,,503,BLACKFORD ST
3253,6173000,,507,BLACKFORD ST
3232,6136000,,610,BLACKFORD ST
8960,6134000,,611,BLACKFORD ST
3226,6125000,,620,BLACKFORD ST
8119,13935000,,310,BLACKLEY ST
8112,13922001,,322,BLACKLEY ST
8111,13922000,,324,BLACKLEY ST
8105,13886000,,335,BLACKLEY ST
6772,11549000,,202,BLACKMAN ST
9307,11548000,,206,BLACKMAN ST
6774,11551000,,207,BLACKMAN ST
6770,11547000,,208,BLACKMAN ST
6775,11552000,,209,BLACKMAN ST
6776,11553000,,211,BLACKMAN ST
6769,11546000,,212,BLACKMAN ST
6777,11554000,,213,BLACKMAN ST
6768,11545000,,214,BLACKMAN ST
6778,11555000,,215,BLACKMAN ST
6767,11544000,,218,BLACKMAN ST
6779,11556000,,219,BLACKMAN ST
6766,11543000,,220,BLACKMAN ST
6780,11557000,,221,BLACKMAN ST
6765,11542000,,224,BLACKMAN ST
6781,11558000,,225,BLACKMAN ST
6782,11559000,,227,BLACKMAN ST
6764,11541000,,228,BLACKMAN ST
6763,11540000,,230,BLACKMAN ST
6822,11599000,,302,BLACKMAN ST
6823,11600000,,303,BLACKMAN ST
6824,11601000,,305,BLACKMAN ST
6821,11598000,,306,BLACKMAN ST
6820,11597000,,308,BLACKMAN ST
6825,11602000,,309,BLACKMAN ST
6819,11596000,,312,BLACKMAN ST
6826,11603000,,315,BLACKMAN ST
6818,11595000,,316,BLACKMAN ST
6817,11594000,,320,BLACKMAN ST
6827,11604000,,321,BLACKMAN ST
6816,11593000,,322,BLACKMAN ST
6828,11606000,,325,BLACKMAN ST
6815,11592000,,326,BLACKMAN ST
6829,11607000,,329,BLACKMAN ST
1675,3943000,,323,BLAIR AVE
1673,3941000,,327,BLAIR AVE
1679,3948000,,328,BLAIR AVE
1672,3940000,,329,BLAIR AVE
1680,3949000,,330,BLAIR AVE
1671,3939001,,331,BLAIR AVE
1681,3950000,,332,BLAIR AVE
1670,3938000,,333,BLAIR AVE
1682,3951000,,334,BLAIR AVE
1668,3937000,,335,BLAIR AVE
1683,3952000,,336,BLAIR AVE
1669,3937001,,337,BLAIR AVE
1667,3934000,,341,BLAIR AVE
1684,3954000,,342,BLAIR AVE
1722,4039000,,408,BLAIR AVE
1710,4009000,,409,BLAIR AVE
1723,4040000,,412,BLAIR AVE
1724,4041000,,416,BLAIR AVE
1725,4042000,,420,BLAIR AVE
1726,4043000,,424,BLAIR AVE
1727,4044000,,428,BLAIR AVE
1728,4045000,,432,BLAIR AVE
1729,4046000,,434,BLAIR AVE
1730,4047000,,436,BLAIR AVE
458,1388000,,125,BONSON ST
4078,7779000,,709,BOWLER ST
4094,7796000,,710,BOWLER ST
4093,7795000,,712,BOWLER ST
4092,7794000,,714,BOWLER ST
8796,7781000,,715,BOWLER ST
4091,7793000,,716,BOWLER ST
4081,7782000,,717,BOWLER ST
4102,7805000,,718,BOWLER ST
4116,7820000,,719,BOWLER ST
4103,7806000,,722,BOWLER ST
4115,7818000,,723,BOWLER ST
4104,7807000,,724,BOWLER ST
4114,7817000,,725,BOWLER ST
4105,7808000,,726,BOWLER ST
4113,7816000,,727,BOWLER ST
4106,7809000,,728,BOWLER ST
4107,7810000,,730,BOWLER ST
8877,13165001,,510,BOYD ST
7815,13166002,,518,BOYD ST
7814,13166000,,520,BOYD ST
11918,13835000,,549,BOYD ST
9133,13240100,,600,BOYD ST
9015,13289200,,648,BOYD ST
8078,13665000,,737,BOYD ST
9245,13376000,,800,BOYD ST
8009,13376000,,800,BOYD ST
8067,13650000,D,805,BOYD ST
8074,13650000,Q,805,BOYD ST
8066,13650000,A,805,BOYD ST
8077,13650000,T,805,BOYD ST
8072,13650000,L,805,BOYD ST
8070,13650000,H,805,BOYD ST
8069,13650000,G,805,BOYD ST
8071,13650000,K,805,BOYD ST
8789,13650000,J,805,BOYD ST
9244,13650000,C,805,BOYD ST
8788,13650000,F,805,BOYD ST
8068,13650000,E,805,BOYD ST
8787,13650000,P,805,BOYD ST
8075,13650000,R,805,BOYD ST
8076,13650000,S,805,BOYD ST
8073,13650000,N,805,BOYD ST
8007,13372000,,816,BOYD ST
8008,13372000,,816,BOYD ST
8019,13417000,,906,BOYD ST
8017,13412000,,910,BOYD ST
7672,13004000,,211,BOYNE ST
7698,13034001,,212,BOYNE ST
7697,13034000,,216,BOYNE ST
7673,13005000,,217,BOYNE ST
7674,13006000,,219,BOYNE ST
7696,13032000,,220,BOYNE ST
7675,13008000,,221,BOYNE ST
7695,13031000,,222,BOYNE ST
7676,13009000,,223,BOYNE ST
7694,13030000,,224,BOYNE ST
7678,13011002,,227,BOYNE ST
11715,13027001,,228,BOYNE ST
11716,13027002,,230,BOYNE ST
7677,13011001,,231,BOYNE ST
7692,13026000,,232,BOYNE ST
7691,13025000,,234,BOYNE ST
7679,13013000,,237,BOYNE ST
7690,13024000,,238,BOYNE ST
7680,13014000,,239,BOYNE ST
7681,13015000,,241,BOYNE ST
7689,13023000,,242,BOYNE ST
7682,13016000,,243,BOYNE ST
8986,13022000,,244,BOYNE ST
7683,13017000,,245,BOYNE ST
7687,13021000,,246,BOYNE ST
7684,13018000,,247,BOYNE ST
7686,13020000,,252,BOYNE ST
7685,13019000,,253,BOYNE ST
7655,12978000,,256,BOYNE ST
7852,13216000,,305,BOYNE ST
7902,13265000,,307,BOYNE ST
7903,13266000,,308,BOYNE ST
7901,13264000,,309,BOYNE ST
7904,13267000,,310,BOYNE ST
9257,13263000,,311,BOYNE ST
7905,13268000,,312,BOYNE ST
7899,13262000,,313,BOYNE ST
7906,13269000,,314,BOYNE ST
7898,13261000,,315,BOYNE ST
7907,13270000,,316,BOYNE ST
7897,13260000,,317,BOYNE ST
7908,13271000,,318,BOYNE ST
7896,13259000,,319,BOYNE ST
7909,13272000,,320,BOYNE ST
7895,13258000,,321,BOYNE ST
9147,13273000,,322,BOYNE ST
7894,13257001,,323,BOYNE ST
7911,13274000,,324,BOYNE ST
7893,13256000,,325,BOYNE ST
7912,13275000,,326,BOYNE ST
11687,13255000,,327,BOYNE ST
7913,13276000,,330,BOYNE ST
7891,13253000,,331,BOYNE ST
7890,13252000,,333,BOYNE ST
7914,13278000,,334,BOYNE ST
7889,13251000,,335,BOYNE ST
7915,13279000,,336,BOYNE ST
7888,13250000,,337,BOYNE ST
7916,13280000,,338,BOYNE ST
7887,13249000,,339,BOYNE ST
7886,13248000,,341,BOYNE ST
7885,13247000,,343,BOYNE ST
11717,13246000,,345,BOYNE ST
7883,13245000,,347,BOYNE ST
7882,13244000,,349,BOYNE ST
7917,13286000,,350,BOYNE ST
7881,13243000,,351,BOYNE ST
7918,13287000,,352,BOYNE ST
7920,13290000,,354,BOYNE ST
7880,13242000,,355,BOYNE ST
11806,13729500,,409,BOYNE ST
8080,13736000,,414,BOYNE ST
8081,13747000,,436,BOYNE ST
8758,2210000,,11,BRAID ST
705,2215000,,15,BRAID ST
706,2215000,,15,BRAID ST
704,2155000,,24,BRAID ST
703,2150000,,30,BRAID ST
708,2220001,,31,BRAID ST
702,2145000,,50,BRAID ST
701,2140000,,60,BRAID ST
707,2220001,,71,BRAID ST
8712,16067000,,76,BRAID ST
8713,16067000,,76,BRAID ST
9108,2457000,,81,BRAID ST
1000,3040000,,90,BRAID ST
998,3038000,,94,BRAID ST
997,3038000,,94,BRAID ST
995,3038000,,94,BRAID ST
996,3038000,,94,BRAID ST
994,3038000,,94,BRAID ST
999,3039000,,100,BRAID ST
9105,2457000,WHS M,109,BRAID ST
9107,2457000,WHS N,109,BRAID ST
9104,2457000,MAIN,109,BRAID ST
9106,2457000,WHS L,109,BRAID ST
1066,3149000,,115,BRAID ST
864,2900000,,116,BRAID ST
1067,3150000,,117,BRAID ST
1065,3147000,,119,BRAID ST
863,2899000,,120,BRAID ST
1064,3146000,,121,BRAID ST
808,2845000,,126,BRAID ST
11906,11545000,,214,BRAID ST
1430,3674000,,308,BRAID ST
1429,3673000,,312,BRAID ST
1460,3719001,,435,BRAID ST
1457,3717000,,438,BRAID ST
1444,3705000,,505,BRAID ST
3824,7055000,,427,BRANTFORD ST
3820,7051000,,612,BRANTFORD ST
3821,7053000,,618,BRANTFORD ST
11886,14600579,,200,BROOKES ST
11908,14600559,,210,BROOKES ST
11907,14600558,,212,BROOKES ST
9300,14602000,,215,BROOKES ST
11905,14600556,,216,BROOKES ST
11904,14600555,,218,BROOKES ST
11903,14600554,,220,BROOKES ST
11902,14600553,,222,BROOKES ST
11901,14600552,,224,BROOKES ST
11900,14600551,,226,BROOKES ST
11898,14600551,,226,BROOKES ST
11899,11541000,,228,BROOKES ST
11897,14600548,,232,BROOKES ST
11896,14600547,,234,BROOKES ST
11895,14600546,,236,BROOKES ST
11894,13024000,,238,BROOKES ST
11893,14600544,,240,BROOKES ST
11892,14600543,,242,BROOKES ST
11891,14600542,,244,BROOKES ST
9270,14600580,,245,BROOKES ST
11890,13021000,,246,BROOKES ST
11889,14600540,,248,BROOKES ST
11888,14600539,,250,BROOKES ST
11887,14600538,,252,BROOKES ST
3853,7243000,,140,BRUNETTE AVE
693,2000000,,230,BRUNETTE AVE
8759,2000000,,230,BRUNETTE AVE
715,2676000,,369,BRUNETTE AVE
9337,16066000,,400,BRUNETTE AVE
953,2991000,,405,BRUNETTE AVE
982,3021000,,415,BRUNETTE AVE
1004,3066000,,425,BRUNETTE AVE
1003,3061000,,445,BRUNETTE AVE
1002,3056000,,455,BRUNETTE AVE
1001,3050000,,465,BRUNETTE AVE
1697,3969000,,327,BUCHANAN AVE
1696,3968000,,329,BUCHANAN AVE
1701,3976000,,330,BUCHANAN AVE
1695,3967000,,331,BUCHANAN AVE
1702,3978000,,332,BUCHANAN AVE
1694,3966000,,333,BUCHANAN AVE
1693,3965000,,335,BUCHANAN AVE
1703,3979000,,336,BUCHANAN AVE
1692,3964000,,337,BUCHANAN AVE
1691,3963000,,339,BUCHANAN AVE
1704,3981000,,340,BUCHANAN AVE
1690,3962000,,341,BUCHANAN AVE
1705,3983000,,342,BUCHANAN AVE
1715,4032000,,406,BUCHANAN AVE
1731,4048000,,407,BUCHANAN AVE
1732,4049000,,411,BUCHANAN AVE
1741,4058000,,414,BUCHANAN AVE
1733,4050000,,415,BUCHANAN AVE
1742,4059000,,418,BUCHANAN AVE
1734,4051000,,419,BUCHANAN AVE
1743,4060000,,422,BUCHANAN AVE
1735,4052000,,423,BUCHANAN AVE
1744,4061000,,426,BUCHANAN AVE
1736,4053000,,427,BUCHANAN AVE
1737,4054000,,431,BUCHANAN AVE
1745,4062000,,432,BUCHANAN AVE
1738,4055000,,435,BUCHANAN AVE
1746,4063000,,436,BUCHANAN AVE
1747,4064000,,438,BUCHANAN AVE
1739,4056000,,439,BUCHANAN AVE
1748,4065000,,442,BUCHANAN AVE
1740,4057000,,443,BUCHANAN AVE
1749,4066000,,446,BUCHANAN AVE
1750,4067000,,450,BUCHANAN AVE
1751,4067001,,454,BUCHANAN AVE
2801,5285000,,802,BURNABY ST
2802,5286000,,806,BURNABY ST
2435,4785000,,809,BURNABY ST
2803,5287000,,810,BURNABY ST
2434,4784000,,815,BURNABY ST
2804,5288000,,816,BURNABY ST
2433,4783000,,817,BURNABY ST
2805,5289000,,818,BURNABY ST
2432,4782000,,821,BURNABY ST
2806,5290000,,822,BURNABY ST
2431,4781000,,823,BURNABY ST
2807,5291000,,824,BURNABY ST
2430,4780000,,825,BURNABY ST
2808,5292000,,826,BURNABY ST
2429,4779000,,827,BURNABY ST
2809,5293000,,828,BURNABY ST
2428,4778000,,829,BURNABY ST
2427,4777000,,831,BURNABY ST
2810,5294000,,832,BURNABY ST
2426,4776000,,833,BURNABY ST
2811,5295000,,834,BURNABY ST
8858,5296000,,836,BURNABY ST
2425,4775000,,837,BURNABY ST
2813,5297000,,838,BURNABY ST
2424,4774000,,839,BURNABY ST
2814,5298000,,842,BURNABY ST
2815,5299000,,844,BURNABY ST
2423,4773000,,845,BURNABY ST
2422,4772000,,901,BURNABY ST
2350,4692000,,902,BURNABY ST
2421,4771000,,905,BURNABY ST
2351,4693000,,906,BURNABY ST
2352,4694000,,908,BURNABY ST
2420,4770000,,909,BURNABY ST
2353,4695000,,910,BURNABY ST
2419,4769000,,911,BURNABY ST
2354,4696000,,912,BURNABY ST
2418,4768000,,913,BURNABY ST
2355,4697000,,914,BURNABY ST
2417,4767000,,917,BURNABY ST
2356,4698000,,918,BURNABY ST
2416,4766000,,919,BURNABY ST
2357,4699000,,920,BURNABY ST
2415,4765000,,921,BURNABY ST
2358,4700000,,922,BURNABY ST
2414,4764000,,923,BURNABY ST
2413,4763000,,925,BURNABY ST
2412,4762000,,927,BURNABY ST
2920,5521002,,218,BURR ST
3028,5758000,,221,BURR ST
3027,5757000,,223,BURR ST
11814,13972020,,201,CAMATA ST
11815,13972013,,223,CAMATA ST
11816,13972012,,225,CAMATA ST
11817,13972011,,231,CAMATA ST
11818,13972010,,233,CAMATA ST
11819,13972009,,237,CAMATA ST
11820,13972008,,251,CAMATA ST
11841,1397201,,252,CAMATA ST
11821,13972007,,255,CAMATA ST
11822,13972006,,281,CAMATA ST
11823,13972026,,285,CAMATA ST
11824,13972025,,291,CAMATA ST
11825,13972003,,293,CAMATA ST
11826,13972002,,295,CAMATA ST
11827,13972001,,297,CAMATA ST
3771,6970000,,1207,CAMERON ST
3770,6969000,,1209,CAMERON ST
3735,6909000,,1210,CAMERON ST
3769,6965000,,1211,CAMERON ST
3768,6963000,,1221,CAMERON ST
3738,6913000,,1222,CAMERON ST
7634,12954000,,201,CAMPBELL ST
7605,12920000,,202,CAMPBELL ST
7633,12953000,,205,CAMPBELL ST
7606,12921000,,206,CAMPBELL ST
7632,12952000,,207,CAMPBELL ST
7607,12922000,,208,CAMPBELL ST
7608,12923000,,212,CAMPBELL ST
7631,12951000,,213,CAMPBELL ST
7630,12950000,,215,CAMPBELL ST
7609,12924000,,216,CAMPBELL ST
7629,12949000,,217,CAMPBELL ST
7610,12925000,,218,CAMPBELL ST
11799,12947004,,219,CAMPBELL ST
7611,12926000,,220,CAMPBELL ST
11798,12947003,,221,CAMPBELL ST
11797,12946000,,225,CAMPBELL ST
7627,12945000,,229,CAMPBELL ST
7626,12942002,,235,CAMPBELL ST
7625,12942001,,237,CAMPBELL ST
7624,12941000,,239,CAMPBELL ST
7623,12940000,,243,CAMPBELL ST
7622,12939000,,247,CAMPBELL ST
7621,12938000,,251,CAMPBELL ST
3857,7266000,,400,CANFOR AVE
3858,7268000,,420,CANFOR AVE
3890,7310000,,430,CANFOR AVE
3899,7310000,,430,CANFOR AVE
3896,7310000,,430,CANFOR AVE
3900,7310000,,430,CANFOR AVE
3894,7310000,,430,CANFOR AVE
3888,7310000,,430,CANFOR AVE
3898,7310000,,430,CANFOR AVE
3884,7310000,,430,CANFOR AVE
3893,7310000,,430,CANFOR AVE
3885,7310000,,430,CANFOR AVE
3895,7310000,,430,CANFOR AVE
3886,7310000,,430,CANFOR AVE
698,2083000,,435,CANFOR AVE
699,2083000,,435,CANFOR AVE
700,2084000,,440,CANFOR AVE
8980,12695501,,1401,CANIL AVE
8973,12695502,,1403,CANIL AVE
8974,12695503,,1405,CANIL AVE
8975,12695504,,1407,CANIL AVE
8976,12695505,,1409,CANIL AVE
3882,7290000,,5,CAPILANO WAY
3881,7290000,,5,CAPILANO WAY
3878,7286000,,20,CAPILANO WAY
3883,7295000,,25,CAPILANO WAY
3879,7287000,,30,CAPILANO WAY
3880,7288000,,40,CAPILANO WAY
3757,6950000,,1310,CARIBOO ST
3754,6935000,,1321,CARIBOO ST
200,657000,,201,CARNARVON ST
118,451000,,202,CARNARVON ST
201,658000,,205,CARNARVON ST
116,449000,,206,CARNARVON ST
202,659000,,209,CARNARVON ST
115,448000,,210,CARNARVON ST
203,661000,,215,CARNARVON ST
204,662000,,219,CARNARVON ST
692,644001,,305,CARNARVON ST
8852,644001,,307,CARNARVON ST
188,646000,,311,CARNARVON ST
109,428000,,312,CARNARVON ST
189,647000,,313,CARNARVON ST
193,648001,,315,CARNARVON ST
191,648001,,317,CARNARVON ST
108,426000,,320,CARNARVON ST
107,426000,,320,CARNARVON ST
190,648001,,321,CARNARVON ST
192,648001,,321,CARNARVON ST
104,419000,,335,CARNARVON ST
412,1302000,,410,CARNARVON ST
411,1302000,,420,CARNARVON ST
415,1310000,,425,CARNARVON ST
416,1313000,,509,CARNARVON ST
409,1288000,,514,CARNARVON ST
410,1288000,,514,CARNARVON ST
417,1315100,,515,CARNARVON ST
408,1287000,,520,CARNARVON ST
