OBJECTID,TEE_ID,X,Y
1101931,,-122.909204966167,49.2096893594849
1101932,,-122.908793134455,49.2093635791401
1101933,,-122.912075710395,49.2100890318276
1101934,,-122.912141996882,49.2101414429432
1101935,,-122.912012929656,49.2101238209772
1101936,,-122.911689718448,49.2102978265597
1101937,,-122.911417695061,49.2104428606945
1101938,,-122.911333485581,49.2104881728168
1101939,,-122.937649725816,49.2092406940993
1101940,,-122.939399193185,49.208297392282
1101941,,-122.941103391492,49.2073780905612
1101942,,-122.942773231752,49.2064781358959
1101943,,-122.944473273422,49.205562022226
1101944,,-122.910632363511,49.2089386966861
1101945,,-122.898511474183,49.2256311227167
1101946,,-122.896151903252,49.2256030166918
1101947,,-122.893403437108,49.225569719679
1101948,,-122.893081717457,49.225566118395
1101949,,-122.901255117689,49.2252380417275
1101950,,-122.901282151113,49.2242496775449
1101951,,-122.901283781474,49.2241703064984
1101952,,-122.899991243419,49.2252222058067
1101953,,-122.899942990322,49.2252216054156
1101954,,-122.89992104402,49.2260509615441
1101955,,-122.924249688269,49.2197675140391
1101956,,-122.92251281504,49.220704783934
1101957,,-122.920522742788,49.2217783244892
1101958,,-122.900986669335,49.2205699813633
1101959,,-122.900809972085,49.2224193214763
1101960,,-122.898615999293,49.2108025717528
1101961,,-122.925051457484,49.1925234705364
1101962,,-122.925489225586,49.1922194575246
1101963,,-122.925396712826,49.1922827878001
1101964,,-122.92594950965,49.1919455277217
1101965,,-122.925964314826,49.1919361416045
1101966,,-122.92576969151,49.1917431363946
1101967,,-122.927926279579,49.1939463918303
1101968,,-122.926054399028,49.1920371600534
1101969,,-122.92692335088,49.1929128719234
1101970,,-122.927071392909,49.1930651932174
1101971,,-122.927402493538,49.1934066777605
1101972,,-122.927893531724,49.1939118923524
1101973,,-122.925181386249,49.19262690646
1101974,,-122.926085308782,49.1935570526556
1101975,,-122.926872011672,49.1943687193528
1101976,,-122.926883600742,49.1943812868456
1101977,,-122.926941527502,49.194440965126
1101978,0,-122.95547080556,49.1777704508951
1101979,,-122.956118881067,49.182936380387
1101980,,-122.956087777856,49.182904183273
1101981,,-122.945723095621,49.1867056059995
1101982,,-122.944699589279,49.1871306334865
1101983,,-122.924831962807,49.2032083511146
1101984,,-122.926764939816,49.2047009485583
1101985,,-122.927819487867,49.2055393281267
1101986,,-122.928101009166,49.2057626572001
1101987,,-122.93693309385,49.2127491577525
1101988,,-122.936439329169,49.2123563391916
1101989,,-122.936124333249,49.2121057663829
1101990,,-122.93602346893,49.2120258864008
1101991,,-122.935487117338,49.2116008244058
1101992,,-122.934603084125,49.2108956923064
1101993,,-122.934171202656,49.2105514680938
1101994,,-122.934049832226,49.2104550512334
1101995,,-122.933194515388,49.2097756106469
1101996,,-122.933218172462,49.2097943723078
1101997,,-122.932231549736,49.2090077667874
1101998,,-122.931311623056,49.2082779508977
1101999,,-122.93140087641,49.2083488940303
1102000,,-122.93053639277,49.2077113838982
1102001,,-122.930568749185,49.2076940019596
1102002,,-122.905539467641,49.2122655435912
1102003,,-122.905534237444,49.2122613744966
1102004,,-122.907769478126,49.2086451957615
1102005,,-122.906919594251,49.209102817801
1102006,,-122.912833651238,49.2248994157022
1102007,,-122.888857669198,49.229699229077
1102008,,-122.888808012495,49.2316037535138
1102009,,-122.934585150282,49.2133461174634
1102010,,-122.888733543929,49.2330717002522
1102011,,-122.936763636811,49.2100476232358
1102012,,-122.947919976376,49.185803006528
1102013,,-122.94757693779,49.1854476402861
1102014,,-122.946745483471,49.1862821862567
1102015,,-122.945967962487,49.1854775413334
1102016,,-122.945765740012,49.1852673615921
1102017,,-122.945975224384,49.1854853769615
1102018,,-122.898445888394,49.2127239478325
1102019,,-122.898404186989,49.2133184815059
1102020,,-122.898442954844,49.213574194859
1102021,,-122.898451500462,49.2136286850084
1102022,,-122.897643369656,49.214497240829
1102023,,-122.897630338483,49.2145400162424
1102024,,-122.898684486312,49.2149947711362
1102025,,-122.899024268142,49.2151353158982
1102026,,-122.899050617787,49.2151449935649
1102027,,-122.899802858791,49.2154940276759
1102028,,-122.900057191534,49.2157702088324
1102029,,-122.900424090837,49.2162519764817
1102030,,-122.90058008826,49.2163706686393
1102031,,-122.900538878731,49.2163931861282
1102032,,-122.900279982069,49.2161111488949
1102033,,-122.89875675836,49.2136482964255
1102034,,-122.899431809646,49.2138390752116
1102035,,-122.899779945154,49.2140834729002
1102036,,-122.900249934697,49.2144537396677
1102037,,-122.900513313911,49.2146612325109
1102038,,-122.900897117812,49.2149075204328
1102039,,-122.90119446439,49.215112474489
1102040,,-122.901366327334,49.2155468074015
1102041,,-122.901448616813,49.2157350625091
1102042,,-122.898459561971,49.2117803552362
1102043,,-122.897366300854,49.2129654489518
1102044,,-122.897393319008,49.2122699475765
1102045,,-122.910317738804,49.205237607269
1102046,,-122.907768632985,49.206632814911
