Y,X,Sign_Code,Sign_ID,Traffic_Direction,Meter_Type,Shared_With,Sign_Definition
49.201426,-122.910902,PM-03,07I24,EB,Double,07I22,2 HOUR METER
49.201363,-122.911018,PM-03,07I26,EB,Double,07I28,2 HOUR METER
49.201363,-122.911018,PM-03,07I28,EB,Double,07I26,2 HOUR METER
49.202931,-122.909104,PM-03,07L05,NB,Single,,2 HOUR METER
49.202976,-122.90916,PM-03,07L07,NB,Single,,2 HOUR METER
49.203021,-122.909217,PM-03,07L09,NB,Single,,2 HOUR METER
49.204592,-122.91267,PM-03,07M02,EB,Double,07M04,2 HOUR METER
49.204592,-122.91267,PM-03,07M04,EB,Double,07M02,2 HOUR METER
49.204519,-122.912805,PM-03,07M06,EB,Double,07M08,2 HOUR METER
49.204519,-122.912805,PM-03,07M08,EB,Double,07M06,2 HOUR METER
49.204449,-122.912935,PM-03,07M10,EB,Double,07M12,2 HOUR METER
49.204449,-122.912935,PM-03,07M12,EB,Double,07M10,2 HOUR METER
49.204304,-122.913199,PM-03,07M14,EB,Double,07M16,2 HOUR METER
49.204304,-122.913199,PM-03,07M16,EB,Double,07M14,2 HOUR METER
49.204234,-122.91333,PM-03,07M18,EB,Double,07M20,2 HOUR METER
49.204234,-122.91333,PM-03,07M20,EB,Double,07M18,2 HOUR METER
49.204165,-122.913458,PM-03,07M22,EB,Double,07M24,2 HOUR METER
49.204165,-122.913458,PM-03,07M24,EB,Double,07M22,2 HOUR METER
49.204097,-122.913588,PM-03,07M26,EB,Double,07M28,2 HOUR METER
49.204097,-122.913588,PM-03,07M28,EB,Double,07M26,2 HOUR METER
49.204028,-122.913713,PM-03,07M30,EB,Double,07M32,2 HOUR METER
49.204028,-122.913713,PM-03,07M32,EB,Double,07M30,2 HOUR METER
49.203957,-122.913845,PM-03,07M34,EB,Double,07M36,2 HOUR METER
49.203957,-122.913845,PM-03,07M36,EB,Double,07M34,2 HOUR METER
49.203888,-122.913972,PM-03,07M38,EB,Double,07M40,2 HOUR METER
49.203888,-122.913972,PM-03,07M40,EB,Double,07M38,2 HOUR METER
49.203818,-122.914102,PM-03,07M42,EB,Double,07M44,2 HOUR METER
49.203818,-122.914102,PM-03,07M44,EB,Double,07M42,2 HOUR METER
49.214802,-122.922254,PM-03,07P01,NB,Single,,2 HOUR METER
49.214703,-122.922413,PM-03,07P02,SB,Double,07P04,2 HOUR METER
49.214844,-122.922306,PM-03,07P03,NB,Double,07P05,2 HOUR METER
49.214703,-122.922413,PM-03,07P04,SB,Double,07P02,2 HOUR METER
49.214844,-122.922306,PM-03,07P05,NB,Double,07P03,2 HOUR METER
49.214795,-122.922528,PM-03,07P06,SB,Double,07P08,2 HOUR METER
49.215024,-122.922534,PM-03,07P07,NB,Double,07P09,2 HOUR METER
49.214795,-122.922528,PM-03,07P08,SB,Double,07P06,2 HOUR METER
49.215024,-122.922534,PM-03,07P09,NB,Double,07P07,2 HOUR METER
49.214876,-122.92263,PM-03,07P10,SB,Double,07P12,2 HOUR METER
49.215161,-122.922705,PM-03,07P11,NB,Double,07P13,2 HOUR METER
49.214876,-122.92263,PM-03,07P12,SB,Double,07P10,2 HOUR METER
49.215161,-122.922705,PM-03,07P13,NB,Double,07P11,2 HOUR METER
49.214961,-122.922738,PM-03,07P14,SB,Single,,2 HOUR METER
49.215288,-122.922867,PM-03,07P15,NB,Double,07P17,2 HOUR METER
49.215288,-122.922867,PM-03,07P17,NB,Double,07P15,2 HOUR METER
49.21535,-122.923226,PM-03,07P18,SB,Double,07P20,2 HOUR METER
49.215373,-122.922974,PM-03,07P19,NB,Double,07P21,2 HOUR METER
49.21535,-122.923226,PM-03,07P20,SB,Double,07P18,2 HOUR METER
49.215373,-122.922974,PM-03,07P21,NB,Double,07P19,2 HOUR METER
49.215463,-122.923086,PM-03,07P23,NB,Double,07P25,2 HOUR METER
49.215463,-122.923086,PM-03,07P25,NB,Double,07P23,2 HOUR METER
49.215552,-122.923196,PM-03,07P27,NB,Double,07P29,2 HOUR METER
49.215552,-122.923196,PM-03,07P29,NB,Double,07P27,2 HOUR METER
