StrName,StrNum,OBJECTID,Name,Category,Neighbourhood,Zoning,Zone_Category,Owner,Surveyed,Site_Area,Relationship,SHAPE_Length,SHAPE_Area
EWEN AVE,838,13,Ryall Park/Queensborough Community Centre,Community Park,Queensborough,P-1,Institutional,City of New Westminster,Y,87371.591797,P,1781.38178579199,76418.3784532551
JAMIESON CRT,76,14,Glenbrook Community Centre,Community Park,Glenbrooke South,P-1,Institutional,Glenbrook Park Amenities Centre Ltd,Y,3651.370117,P,273.444748661405,3366.67346865916
E COLUMBIA ST,660,15,Hume Park,Community Park,Sapperton,RS-1,SINGLE DETACHED,City of New Westminster,Y,111167.132813,P,1771.62079846902,107911.39615788
EWEN AVE,510,16,Old School House Park,Neighbourhood Park,Queensborough,P-10,Institutional,City of New Westminster,Y,12500.009766,P,469.106787307399,12496.7292254429
SALTER ST,160,17,Port Royal Riverfront Walk (Dyke Trail),Neighbourhood Park,North Arm South,P-1,Institutional,City of New Westminster,Y,6440,P,1087.44907143159,6675.27673713885
BOUNDARY RD,,18,Thompson's Landing Park,Neighbourhood Park,Queensborough,P-1,Institutional,City of New Westminster,Y,9969.980469,P,532.598553505302,10075.4377238568
EWEN AVE,703,19,Sukh Sagar Park,Neighbourhood Park,Queensborough,P-10,Institutional,City of New Westminster,Y,892.23999,P,130.716097657924,897.283246884042
NINTH AVE,2138,20,Connaught Heights Park,Neighbourhood Park,Connaught Heights,NR-1,Single Detached,City of New Westminster,Y,6346.859863,P,335.450856256879,6353.64115600319
STEWARDSON WAY,1609,21,Lookout Park,Neighbourhood Park,Brow of the Hill,RT-1,Duplex,City of New Westminster,Y,3132.22998,P,329.176165451635,2977.53248546463
STAR CRES,,22,Port Royal Riverfront Walk (Dyke Trail),Neighbourhood Park,North Arm South,RMW-3,Apartment (High Rise),City of New Westminster,Y,3740,P,634.201854659869,3873.03401385819
EIGHTH ST,105,23,Toronto Place Park,Neighbourhood Park,Uptown,RS-2,Single Detached,City of New Westminster,Y,2023.430054,P,180.881667811586,2019.33870250191
MCBRIDE BLVD,940,24,Dunwood Place Park,Neighbourhood Park,Glenbrooke North,RS-2,Single Detached,City of New Westminster,Y,1336.130005,P,183.764444764772,1363.65741701834
SINCLAIR AVE,114,25,Sinclair Park,Neighbourhood Park,Glenbrooke North,RS-1,Single Detached,City of New Westminster,Y,1295.060059,P,144.814208925741,1294.50693448383
OLIVER ST,315,26,Sullivan Park,Neighbourhood Park,Queens Park,RS-1,SINGLE DETACHED,City of New Westminster,Y,3347.850098,P,231.559025578782,3343.57504099811
ROYAL AVE,301,27,Tipperary Park,Neighbourhood Park,Queens Park,RS-1,Single Detached,City of New Westminster,Y,20619.089844,P,582.520561084205,20580.1361240798
FIRST ST,40,28,Albert Crescent Park,Neighbourhood Park,Downtown,RS-1,Single Detached,City of New Westminster,Y,18209.269531,P,589.577190803921,17893.3234393881
AGNES ST,205,29,Saint Mary's Park,Neighbourhood Park,Downtown,P-2,Institutional,City of New Westminster,Y,2461.840088,P,198.459532617131,2461.30447128709
SANGSTER PL,827,30,Sangster Place Triangle,Neighbourhood Park,Victory Heights,RS-1,Single Detached,City of New Westminster,Y,1058.540039,P,203.602282565102,1575.43131901734
E TENTH AVE,200,31,Westburnco Reservoir Sports Courts,Neighbourhood Park,Victory Heights,RS-1,Single Detached,Greater Vancouver Water District,N,25280.961041,P,671.079667261219,25280.9610414618
MOTT CRES,88A,32,Mott Crescent Triangle,Neighbourhood Park,Victory Heights,RS-1,Single Detached,City of New Westminster,Y,2187.48999,P,239.933430952799,2188.26637944413
YORK ST,808,33,Jackson Crescent Triangle,Neighbourhood Park,Victory Heights,RS-1,Single Detached,City of New Westminster,Y,1294.97998,P,169.551484098251,1257.68221646337
CHILLIWACK ST,927,34,Victory Heights Park,Neighbourhood Park,Victory Heights,RS-1,Single Detached,City of New Westminster,Y,1578.23999,P,193.462328439519,1601.92152599168
E COLUMBIA ST,505,35,Gateway Park (Sapperton Triangle),Neighbourhood Park,Sapperton,RS-1,Single Detached,City of New Westminster,Y,4010.439941,P,310.731180071228,4085.90554202829
E COLUMBIA ST,409,36,Knox Plaza,Neighbourhood Park,Sapperton,C-3(C-2A),Commercial,City of New Westminster,Y,802.400024,P,119.274236924326,794.87544998938
QUAYSIDE DR,1260,37,Quayside Park,Neighbourhood Park,Downtown,RM-6,Apartment (High Rise),City of New Westminster,N,787.228453,C,154.61227643551,787.228452632534
COLUMBIA ST,796,38,Hyack Square,Neighbourhood Park,Downtown,C-8,Commercial,City of New Westminster,Y,1214.060059,P,140.75016739591,1212.93370936645
,,39,Clinton Place Park,Neighbourhood Park,Queens Park,,,City of New Westminster,N,3618.046811,P,450.49547251277,3618.0468110144
,,41,Begbie Square,Neighbourhood Park,Downtown,,,City of New Westminster,N,1819.346397,P,221.032958073829,1819.34639686192
HOLLY AVE,250,42,Redboat Park,Neighbourhood Park,North Arm South,P-1,Institutional,City of New Westminster,Y,1932.099976,P,167.400314438692,1685.00438526914
E COLUMBIA ST,9,43,The Great Lawn,Neighbourhood Park,Glenbrooke South,P-1,Institutional,City of New Westminster,Y,24199.939453,P,851.470060051458,24183.0843064668
E ROYAL AVE,25,44,Victoria Hill Park,Neighbourhood Park,Glenbrooke South,P-1,Institutional,Onni Development (Victoria Hill) Corp,Y,6850.02002,P,363.931740653528,6843.67494526116
WINTHROP ST,,45,Winthrop Triangle,Neighbourhood Park,Sapperton,,,City of New Westminster,N,294.748985,P,68.4290694897736,294.748985254016
THIRTEENTH ST,,46,Stewardson Thirteenth St Triangle,Neighbourhood Park,North Arm North,M-1,Industrial,City of New Westminster,Y,1052.959961,P,159.082065419195,970.3861583541
SALTER ST,215,47,Port Royal Park,Neighbourhood Park,North Arm South,P-1,Institutional,City of New Westminster,Y,13669.94043,P,848.378381784439,13670.0779713908
STAR CRES,86,48,Community Gardens,Neighbourhood Park,North Arm South,P-1,Institutional,City of New Westminster,Y,4729.970215,P,493.900782616005,4754.56172336395
