BLDG_ID,MAPREF,UNITNUM,STRNUM,STRNAM,NUM_B_GRND,NUM_A_GRND,NUM_MEZZ,SQM_SITCVR,SQM_FTPRNT,NUM_RES,SQM_B_GRND,SQM_A_GRND
397,1259000,,423,AGNES ST,1,5,0,1239.61,949.93,48,0,4433.7
428,1328000,,428,AGNES ST,1,3,0,1126.73,1126.73,47,0,3380.18
396,1255000,,503,AGNES ST,1,3,0,405.43,405.43,16,202.25,1082.32
426,1325000,,508,AGNES ST,1,3,0,529.92,529.92,1,542.09,1087.71
427,1325000,,514,AGNES ST,1,1,0,81.1,81.1,0,52.3,81.1
425,1322000,,518,AGNES ST,1,3,0,172.8,172.8,1,172.8,518.4
395,1254000,,525,AGNES ST,0,5,0,984.49,582.5,47,0,4110.96
223,729000,,611,AGNES ST,0,4,0,2425.7,364.18,0,0,5921.64
174,626000,100/201-404,624,AGNES ST,0,4,0,476.04,381.27,20,0,1809.38
176,626000,101-108,624,AGNES ST,1,3,0,411.75,390.56,8,51.65,1210.71
175,626000,109-113,624,AGNES ST,1,2,0,248.33,248.33,5,150.87,495.64
224,730001,,625,AGNES ST,2,5,0,2424.49,2424.49,0,0,8919.99
213,684000,,805,AGNES ST,1,1,0,292.64,292.64,0,37.16,292.64
215,694000,,813,AGNES ST,0,15,0,579.06,81.75,112,0,8150.2
156,581001,,820,AGNES ST,2,1,0,226.68,226.68,0,444.82,226.68
216,694000,,823,AGNES ST,0,3,0,285.4,285.4,6,0,642.15
149,569000,,828,AGNES ST,0,16,0,545.71,545.71,99,0,7428.34
217,694000,,833,AGNES ST,0,15,0,579.06,79.9,112,0,8148.34
148,569000,,838,AGNES ST,0,14,0,545.71,488.3,99,0,7428.16
153,574000,,920,AGNES ST,1,1,0,183.95,183.95,0,183.95,183.95
1301,3388000,,306,ALBERTA ST,1,2,0,96.62,96.62,2,96.62,193.24
1327,3414000,,307,ALBERTA ST,1,2,0,64.66,64.66,1,64.66,129.32
1302,3389000,,310,ALBERTA ST,1,1,0,104.14,104.14,1,104.14,104.14
1326,3413000,,311,ALBERTA ST,1,1,0,85.38,85.38,2,84.73,85.38
1303,3390000,,312,ALBERTA ST,0,2,0,135.73,83.24,1,0,218.97
1325,3412000,,313,ALBERTA ST,1,1,0,63.08,63.08,1,62.43,63.08
1304,3391000,,314,ALBERTA ST,1,1,0,83.61,83.61,1,83.61,83.61
1324,3411000,,315,ALBERTA ST,1,2,0,72.46,72.46,1,62.43,134.9
1305,3392000,,316,ALBERTA ST,1,2,0,65.4,65.4,1,65.4,119.84
1323,3410000,,317,ALBERTA ST,1,1,0,68.84,68.84,2,68.84,68.84
1306,3393000,,318,ALBERTA ST,1,2,0,76.92,76.92,2,71.54,148.46
1322,3409000,,319,ALBERTA ST,1,2,0,66.15,66.15,1,48.31,95.13
1307,3394000,,320,ALBERTA ST,1,1,0,132.39,71.07,2,71.07,71.07
1321,3408000,,321,ALBERTA ST,1,1,0,82.5,82.5,1,82.5,82.5
1308,3395000,,322,ALBERTA ST,1,1,0,83.24,83.24,2,83.24,83.24
1320,3407000,,323,ALBERTA ST,1,1,0,86.86,86.86,1,86.86,86.86
1309,3396000,,324,ALBERTA ST,1,1,0,90.95,90.95,2,90.95,90.95
1319,3406000,,325,ALBERTA ST,1,2,0,81.75,81.75,2,81.01,143.54
1310,3397000,,326,ALBERTA ST,1,1,0,66.7,66.7,1,48.12,66.7
1318,3405000,,327,ALBERTA ST,1,1,0,89.93,89.93,2,89.93,89.93
1311,3398000,,328,ALBERTA ST,1,2,0,52.49,52.49,1,48.31,100.8
1317,3404000,,329,ALBERTA ST,1,1,0,100.06,100.06,1,95.6,100.06
1312,3399000,,330,ALBERTA ST,1,2,0,74.88,74.88,2,74.88,123.19
1316,3403000,,331,ALBERTA ST,0,2,0,106.1,92.9,1,0,185.25
1313,3400000,,332,ALBERTA ST,1,2,0,151.34,151.34,2,112.32,234.95
1315,3402000,,333,ALBERTA ST,1,1,0,67.63,67.63,2,67.63,67.63
1314,3401000,,335,ALBERTA ST,1,1,0,67.82,67.82,1,67.82,67.82
1551,3803000,,338,ALBERTA ST,1,1,0,89.19,89.19,2,89.19,89.19
1581,3834000,,339,ALBERTA ST,1,1,0,92.53,92.53,1,92.53,92.53
1552,3804000,,340,ALBERTA ST,1,1,0,54.35,54.35,1,54.35,54.35
1580,3833000,,341,ALBERTA ST,0,1,0,63.17,63.17,1,0,63.17
11781,3832000,,343,ALBERTA ST,1,2,1,111.48,111.48,2,51.9,190.68
1553,3805000,,344,ALBERTA ST,1,2,0,64.1,64.1,1,61.5,90.49
1554,3806000,,346,ALBERTA ST,1,1,0,87.61,87.61,2,68.28,87.61
1577,3830000,,347,ALBERTA ST,1,2,0,106.93,106.93,1,40.41,177.44
1555,3807000,,348,ALBERTA ST,1,2,0,57.14,57.14,1,27.87,102.84
1576,3829000,,349,ALBERTA ST,0,1,0,66.15,66.15,1,0,66.15
1556,3808000,,350,ALBERTA ST,1,1,0,84.91,84.91,1,64.47,84.91
1575,3828000,,351,ALBERTA ST,1,2,0,82.87,82.87,2,82.87,133.04
1557,3809000,,352,ALBERTA ST,1,1,0,90.21,90.21,1,75.34,90.21
1574,3827000,,353,ALBERTA ST,0,2,0,157.01,135.45,2,0,292.46
1573,3826000,,355,ALBERTA ST,1,1,0,66.89,66.89,2,66.89,66.89
1572,3825000,,357,ALBERTA ST,1,2,0,109.25,109.25,1,109.25,131.55
1558,3810000,,358,ALBERTA ST,1,1,0,105.17,105.17,2,105.17,105.17
1571,3824000,,359,ALBERTA ST,1,2,0,89.37,89.28,2,79.62,160.63
1570,3823000,,361,ALBERTA ST,1,2,0,107.12,107.12,2,85.47,146.79
1559,3811000,,362,ALBERTA ST,1,1,0,76.74,76.74,2,76.74,76.74
1569,3822000,,363,ALBERTA ST,1,1,0,65.96,65.96,1,60.39,65.96
1568,3821000,,365,ALBERTA ST,0,2,0,131.64,131.64,1,0,254.74
1567,3820000,,367,ALBERTA ST,0,2,0,98.66,98.66,1,0,197.33
1560,3813000,,368,ALBERTA ST,1,2,0,68.84,69.12,1,63.27,132.39
1566,3819000,,369,ALBERTA ST,1,2,0,88.82,88.82,2,88.82,117.99
1561,3814000,,370,ALBERTA ST,1,2,0,120.77,120.77,2,118.27,183.2
1562,3815000,,372,ALBERTA ST,1,1,0,74.6,74.6,1,74.6,74.6
1563,3816000,,374,ALBERTA ST,1,1,0,77.39,77.39,1,77.39,77.39
1564,3817000,,376,ALBERTA ST,1,1,0,72.37,72.37,1,72.37,72.37
1999,4324000,,409,ALBERTA ST,1,1,0,51.38,51.38,1,51.38,51.38
2000,4325000,,411,ALBERTA ST,0,1,0,70.61,70.61,1,0,70.61
2024,4353000,,412,ALBERTA ST,0,1,0,74.32,74.32,1,0,74.32
2001,4326000,,413,ALBERTA ST,1,2,0,60.85,60.85,1,60.85,87.79
2023,4351000,,414,ALBERTA ST,1,2,0,101.26,101.26,1,41.99,189.06
2002,4327000,,415,ALBERTA ST,1,1,0,97.36,97.36,1,97.36,97.36
2022,4349001,,416,ALBERTA ST,0,2,0,111.02,92.9,2,0,203.92
2003,4328000,,417,ALBERTA ST,1,2,0,81.85,81.85,1,81.85,115.29
2021,4349000,,418,ALBERTA ST,1,1,0,127.65,125.14,1,125.14,125.14
2004,4329000,,419,ALBERTA ST,1,2,0,71.63,71.63,1,71.63,109.53
2020,4348000,,420,ALBERTA ST,1,1,0,90.58,90.58,2,90.58,90.58
2005,4330000,,421,ALBERTA ST,1,1,0,91.14,91.14,1,91.14,91.14
2006,4331000,,423,ALBERTA ST,1,1,0,120.87,120.87,1,86.12,120.87
2019,4346000,,424,ALBERTA ST,0,2,0,75.99,75.99,1,0,134.15
2007,4332000,,425,ALBERTA ST,0,2,0,80.64,80.64,1,0,134.15
2018,4345000,,426,ALBERTA ST,0,2,0,84.82,84.82,1,0,169.64
2008,4333000,,427,ALBERTA ST,1,1,0,81.75,81.75,1,81.75,81.75
2017,4344000,,428,ALBERTA ST,1,1,0,103.12,103.12,1,103.12,103.12
2009,4334000,,429,ALBERTA ST,1,1,0,96.71,96.71,2,96.71,96.71
2016,4342000,,430,ALBERTA ST,1,1,0,97.73,97.73,1,97.73,97.73
2010,4335001,,431,ALBERTA ST,0,2,0,111.02,85.75,2,0,196.77
2014,4340000,,432,ALBERTA ST,1,1,0,80.27,80.27,1,80.27,80.27
2011,4335002,,433,ALBERTA ST,0,2,0,116.78,85.38,1,0,202.16
2015,4341000,,434,ALBERTA ST,1,1,0,105.26,105.26,1,105.26,105.26
2013,4339000,,436,ALBERTA ST,1,1,0,105.72,105.72,1,105.72,105.72
2012,4338000,,438,ALBERTA ST,1,1,0,105.72,105.72,2,105.72,105.72
1957,4276000,,441,ALBERTA ST,1,2,0,140.28,140.28,1,114.55,247.68
1956,4275000,,445,ALBERTA ST,1,1,0,120.77,120.77,1,120.77,120.77
1955,4274000,,447,ALBERTA ST,1,1,0,131.18,131.18,1,130.06,131.18
1958,4277000,,448,ALBERTA ST,1,1,0,107.3,107.3,1,104.24,107.3
2558,4911000,,601,ALLISON PL,1,1,0,124.3,124.3,1,95.88,124.3
2548,4901000,,602,ALLISON PL,1,1,0,131.74,131.74,2,128.67,131.74
2557,4910000,,605,ALLISON PL,1,1,0,137.03,137.03,1,99.87,137.03
2549,4902000,,606,ALLISON PL,1,1,0,133.32,133.32,1,133.32,133.32
2556,4909000,,609,ALLISON PL,1,1,0,128.02,128.02,1,109.63,128.02
2550,4903000,,610,ALLISON PL,1,1,0,122.07,122.07,2,122.07,122.07
2555,4908000,,611,ALLISON PL,1,1,0,107.77,107.77,1,107.77,107.77
2551,4904000,,614,ALLISON PL,1,1,0,148.37,148.37,1,101.26,148.37
2554,4907000,,615,ALLISON PL,1,1,0,114.64,114.64,1,56.58,114.64
2552,4905000,,618,ALLISON PL,0,2,0,146.69,146.69,1,0,293.39
2553,4906000,,620,ALLISON PL,1,1,0,123.56,123.56,1,54.16,123.56
1834,4153000,,501,AMESS ST,1,2,0,125.98,125.98,1,60.76,191.19
1835,4154000,,502,AMESS ST,0,2,0,111.11,111.11,2,0,202.9
1833,4152000,,503,AMESS ST,1,1,0,131.55,131.55,1,113.71,131.55
11779,4155000,,504,AMESS ST,1,2,1,171.91,171.91,2,67.37,0
1832,4151000,,507,AMESS ST,1,1,0,93.37,93.37,1,60.2,93.37
1837,4156000,,508,AMESS ST,1,1,0,62.43,62.43,1,62.43,62.43
1831,4150000,,509,AMESS ST,1,1,0,80.27,80.27,1,80.27,80.27
9322,4157000,,510,AMESS ST,1,2,0,126.26,126.26,2,63.17,241.18
1830,4149000,,511,AMESS ST,1,2,0,74.14,74.14,1,69.68,87.14
1839,4158000,,512,AMESS ST,1,1,0,132.85,132.85,1,132.85,132.85
9019,4159000,,514,AMESS ST,1,2,0,104.89,104.42,2,76.92,209.31
1829,4148000,,515,AMESS ST,1,2,0,134.99,134.99,1,82.87,261.71
1841,4160000,,518,AMESS ST,1,1,0,151.62,151.62,2,151.62,151.62
1828,4147000,,519,AMESS ST,1,1,0,95.78,95.78,1,95.78,95.78
1842,4161000,,520,AMESS ST,1,2,0,127.65,127.65,2,53.7,232.44
1827,4146000,,521,AMESS ST,1,2,0,102.29,102.29,1,72.65,161.74
1843,4162000,,522,AMESS ST,1,2,0,140.84,140.84,2,59.37,226.5
1826,4145000,,523,AMESS ST,1,2,0,104.79,104.79,2,92.53,183.11
1825,4144000,,525,AMESS ST,1,2,0,83.24,83.24,1,83.24,99.13
1844,4163000,,526,AMESS ST,1,1,0,94.95,94.95,1,115.29,94.95
1824,4143000,,529,AMESS ST,1,2,0,136.47,135.17,2,58.9,229.1
1845,4164000,,530,AMESS ST,1,2,0,85.66,85.66,1,85.66,147.34
1846,4165000,,532,AMESS ST,1,1,0,118.45,118.45,2,118.45,118.45
1823,4142000,,533,AMESS ST,1,1,0,89.19,89.19,1,89.19,89.19
1822,4141000,,535,AMESS ST,1,1,0,116.5,116.5,1,116.5,116.5
1847,4166000,,536,AMESS ST,1,1,0,106.47,106.47,1,106.47,106.47
1848,4167000,,538,AMESS ST,1,2,0,107.77,107.77,1,107.77,150.13
1821,4140000,,539,AMESS ST,1,1,0,77.3,77.3,1,77.3,77.3
1820,4139000,,541,AMESS ST,1,1,0,87.14,87.14,2,87.14,87.14
1849,4168000,,542,AMESS ST,1,1,0,129.04,129.04,2,129.04,129.04
1850,4169000,,544,AMESS ST,1,1,0,101.08,101.08,2,95.5,101.08
1819,4138000,,545,AMESS ST,1,1,0,112.78,112.78,1,112.78,112.78
1818,4137000,,547,AMESS ST,1,1,0,88.72,88.72,1,88.72,88.72
1851,4170000,,548,AMESS ST,1,1,0,96.62,96.62,1,60.39,96.62
1817,4136000,,549,AMESS ST,1,1,0,106,106,2,106,106
1852,4171000,,550,AMESS ST,1,1,0,94.76,94.76,1,94.76,94.76
1816,4135000,,551,AMESS ST,1,1,0,112.04,112.04,1,51.19,112.04
1853,4172000,,552,AMESS ST,1,1,0,117.06,117.06,2,83.61,117.06
1854,4173000,,554,AMESS ST,1,1,0,118.92,118.92,1,91.04,118.92
1855,4174000,,556,AMESS ST,1,1,0,100.43,100.43,2,100.43,100.43
1880,4198000,,558,AMESS ST,1,1,0,186.64,181.81,1,186.64,181.81
9235,5430000,,212,ANTHONY CRT,0,2,0,148.92,138.05,2,0,277.5
9118,5431000,,214,ANTHONY CRT,1,2,0,112.78,112.78,2,56.76,220.46
9137,5437000,,216,ANTHONY CRT,1,2,0,128.3,116.69,1,67.73,210.61
3097,5852000,,222,ANTHONY CRT,1,2,0,126.72,126.72,1,32.42,248.24
3098,5853000,,228,ANTHONY CRT,1,2,0,134.34,112.69,1,33.35,247.03
3099,5854000,,232,ANTHONY CRT,0,2,0,164.35,115.94,1,0,280.29
11692,5857000,,234,ANTHONY CRT,0,2,1,123.1,123.1,0,0,222.98
3137,6016000,,316,ARBUTUS ST,1,2,0,65.87,65.87,1,21.74,77.95
3138,6017000,,318,ARBUTUS ST,0,1,0,51.38,51.38,1,0,51.38
3139,6018000,,320,ARBUTUS ST,1,1,0,67.35,67.35,1,37.16,67.35
3488,6523000,,321,ARBUTUS ST,1,1,0,52.95,52.95,1,52.95,52.95
3487,6522000,,323,ARBUTUS ST,1,2,0,100.89,100.89,2,100.89,144.84
3464,6497000,,324,ARBUTUS ST,1,1,0,82.87,82.87,2,82.87,82.87
3486,6521000,,325,ARBUTUS ST,1,2,0,124.03,124.03,2,124.03,177.54
3465,6498000,,326,ARBUTUS ST,1,1,0,67.91,67.91,1,67.91,67.91
3482,6515000,,327,ARBUTUS ST,1,2,0,87.42,87.42,1,86.96,123.75
3481,6514000,,329,ARBUTUS ST,1,2,0,85.01,85.01,1,74.14,131.92
3466,6499000,,330,ARBUTUS ST,1,1,0,81.94,81.94,1,81.94,81.94
3480,6513000,,331,ARBUTUS ST,1,2,0,82.59,82.59,1,82.13,129.79
3479,6512000,,333,ARBUTUS ST,1,1,0,95.32,95.32,1,80.83,95.32
3467,6500000,,334,ARBUTUS ST,1,1,0,88.54,88.54,1,88.54,88.54
2028,4357000,,220,ARCHER ST,1,1,0,106,106,1,106,106
2030,4359000,,221,ARCHER ST,1,1,0,107.86,107.86,1,107.86,107.86
2053,4382000,,222,ARCHER ST,1,1,0,89.37,89.37,1,89.19,89.37
2054,4383000,,223,ARCHER ST,0,2,0,74.32,74.32,1,0,117.99
2055,4384000,,225,ARCHER ST,1,2,0,101.64,101.64,1,101.64,166.02
2052,4381000,,226,ARCHER ST,1,1,0,72.46,72.46,1,72.46,72.46
2056,4385000,,229,ARCHER ST,1,2,0,104.42,104.42,1,83.33,146.51
2051,4380000,,230,ARCHER ST,1,1,0,120.22,120.22,3,116.87,120.22
2050,4379000,,232,ARCHER ST,1,1,0,76.46,76.46,1,76.46,76.46
2057,4386000,,233,ARCHER ST,1,1,0,159.42,159.42,2,83.61,159.42
2058,4387000,,237,ARCHER ST,1,2,0,89.84,89.84,1,68.47,176.33
2044,4372000,,306,ARCHER ST,1,1,0,128.67,128.67,1,116.31,128.67
2060,4389000,,307,ARCHER ST,1,2,0,81.75,81.75,1,81.75,132.85
2043,4371000,,310,ARCHER ST,1,2,0,119.75,115.76,3,99.5,235.51
2061,4390000,,313,ARCHER ST,1,2,0,90.86,90.86,1,90.86,145.86
2042,4370000,,314,ARCHER ST,1,1,0,93.65,93.65,1,42.36,93.65
2062,4391000,,315,ARCHER ST,1,1,0,90.02,90.02,1,62.43,90.02
2063,4392000,,319,ARCHER ST,1,1,0,112.97,112.97,2,112.97,112.97
323,1017000,,109,ASH ST,1,2,0,120.77,120.77,4,80.27,172.61
324,1018000,,111,ASH ST,0,2,0,79.71,79.71,2,0,159.42
325,1019000,,113,ASH ST,0,2,0,65.78,65.78,1,0,84.91
326,1020000,,115,ASH ST,0,2,0,70.23,70.23,1,0,91.97
2898,5497000,,202,ASH ST,1,1,0,144,144,2,144,144
2887,5484000,,211,ASH ST,1,3,0,547.48,547.48,20,0,1642.43
2899,5498000,,212,ASH ST,1,2,0,86.4,86.4,3,86.4,146.42
2900,5499000,,214,ASH ST,1,2,0,136.66,136.66,1,114.36,230.31
3047,5792000,,221,ASH ST,1,2,0,627.28,627.28,18,591.61,1188.14
3036,5772000,,222,ASH ST,1,3,0,1070.99,1070.99,50,0,3212.96
3048,5794000,,227,ASH ST,1,1,0,76.92,76.92,2,75.16,76.92
3049,5795000,,229,ASH ST,1,1,0,93.37,93.37,2,93.37,93.37
3037,5775000,,230,ASH ST,1,3,0,939.16,939.16,40,0,2817.47
3276,6200000,,308,ASH ST,1,2,0,127.93,127.93,1,127.93,222.69
3277,6201000,,310,ASH ST,1,2,0,77.02,77.02,1,77.02,145.58
3261,6181001,,311,ASH ST,0,3,0,726.04,726.04,27,0,2178.11
3278,6202000,,312,ASH ST,1,2,0,84.91,84.91,1,84.91,125.51
3279,6203000,,314,ASH ST,1,2,0,112.13,112.13,1,101.54,149.48
3262,6184000,,315,ASH ST,1,1,0,73.49,73.49,1,73.49,73.49
3280,6204000,,316,ASH ST,1,2,0,83.33,83.33,1,83.33,127.09
3281,6205000,,318,ASH ST,1,2,0,118.27,118.27,4,118.27,163.42
3263,6185001,,319,ASH ST,1,3,0,85.01,85.01,2,85.01,165.92
3282,6206000,,320,ASH ST,1,2,0,92.72,92.72,1,92.72,121.15
3264,6186000,,321,ASH ST,1,1,0,77.02,77.02,3,77.02,77.02
3423,6442000,,322,ASH ST,1,2,0,83.15,83.15,1,83.15,121.61
3425,6449000,,323,ASH ST,1,1,0,104.33,104.33,1,88.16,104.33
3426,6450000,,325,ASH ST,1,3,0,752.33,532.71,27,0,2037.36
3424,6445000,,330,ASH ST,1,3,0,1388.16,1388.16,60,0,4164.47
3665,6791000,,409,ASH ST,0,4,0,1055.1,1055.1,44,0,3395.88
3666,6794000,,413,ASH ST,1,1,0,78.04,78.04,2,78.04,78.04
3667,6795000,,417,ASH ST,1,1,0,102.29,102.29,1,50.17,102.29
3674,6808000,,420,ASH ST,1,3,0,973.81,973.81,41,0,2921.43
3668,6796000,,421,ASH ST,1,2,0,121.33,121.33,3,121.33,218.14
3818,7047000,,425,ASH ST,0,3,0,607.49,607.49,21,0,1822.48
3812,7032000,,430,ASH ST,1,4,0,1170.21,942.78,44,344.39,3531.24
3817,7044000,,435,ASH ST,1,4,0,987.84,954.02,43,0,3133.25
3807,7027000,,436,ASH ST,0,4,0,346.44,346.44,14,0,1125.24
4635,8606000,,511,ASH ST,0,6,0,2236.83,2014.05,69,0,11390.93
4647,8644000,,512,ASH ST,0,3,0,306.58,306.58,16,0,919.74
4646,8640000,,516,ASH ST,1,3,0,581.11,581.11,28,0,1743.33
4644,8637000,,522,ASH ST,0,4,0,445.47,289.86,16,0,1311.88
4640,8622000,,527,ASH ST,1,8,0,518.03,353.77,58,0,3979.97
369,1106000,,1002,AUCKLAND ST,1,2,0,306.58,365.11,0,141.12,671.69
379,1128000,,1009,AUCKLAND ST,1,1,0,96.99,96.99,1,42.74,96.99
380,1129000,,1011,AUCKLAND ST,1,1,0,74.32,74.32,1,40.88,74.32
370,1107000,,1012,AUCKLAND ST,1,1,0,224.55,224.55,0,224.55,224.55
381,1130001,,1013,AUCKLAND ST,1,2,0,91.88,81.2,1,26.94,162.39
368,1103000,,1026,AUCKLAND ST,1,1,0,130.06,130.06,0,130.06,130.06
385,1136000,,1035,AUCKLAND ST,1,4,0,704.67,704.67,40,100.34,2785.7
7266,12489025,,1217,BASRAN AVE,0,2,0,185.06,148.92,1,0,297.2
7270,12489030,,1220,BASRAN AVE,0,2,0,160.07,118.73,3,0,278.71
7265,12489024,,1225,BASRAN AVE,0,2,0,183.11,137.96,3,0,301.75
7271,12489031,,1226,BASRAN AVE,0,2,0,195.28,138.61,2,0,301.38
7258,12489013,,1230,BASRAN AVE,0,2,0,192.59,151.62,2,0,302.12
7293,12489054,,1233,BASRAN AVE,0,2,0,174.47,151.15,4,0,322.09
7259,12489014,,1236,BASRAN AVE,0,2,0,121.8,121.8,2,0,278.15
7292,12489053,,1239,BASRAN AVE,0,2,0,218.88,152.08,3,0,318.94
7291,12489052,,1253,BASRAN AVE,0,2,0,218.88,152.08,3,0,318.01
7290,12489051,,1255,BASRAN AVE,0,2,0,168.62,157.1,2,0,325.72
9009,229000,,14,BEGBIE ST,0,18,0,1618.74,552.96,158,0,13595.99
70,354000,,40,BEGBIE ST,0,3,0,807.7,807.7,0,0,1862.89
72,356000,,48,BEGBIE ST,1,6,0,299.71,299.71,21,299.71,1798.23
3700,6855001,,1005,BELLEVILLE ST,0,2,0,117.15,94.39,1,0,193.42
9353,8575000,,608,BELMONT ST,0,24,0,899.77,899.77,168,0,16227.19
4628,8585000,,615,BELMONT ST,0,19,0,3695.03,3695.03,139,0,18361.26
4155,7862000,,707,BELYEA ST,1,2,0,78.22,78.22,2,78.22,107.02
3655,6778000,,403,BENT CRT,1,2,0,82.59,82.59,2,78.5,161.09
3654,6777000,,607,BENT CRT,1,1,0,79.34,79.34,1,79.34,79.34
3653,6776000,,609,BENT CRT,1,2,0,106.93,106.93,0,62.43,169.36
3652,6775000,,611,BENT CRT,1,2,0,109.63,109.63,1,102.29,185.99
3651,6774000,,614,BENT CRT,1,3,0,68.47,68.47,1,66.89,171.59
590,1612002,,33,BLACKBERRY DR,0,2,0,560.21,551.75,1,0,1111.96
587,1611000,,55,BLACKBERRY DR,0,4,0,1011.34,1011.34,46,0,3747.43
589,1612001,,95,BLACKBERRY DR,1,1,0,810.67,810.67,12,100.8,810.67
3254,6174000,,503,BLACKFORD ST,1,2,0,146.23,146.23,2,146.23,196.86
3253,6173000,,507,BLACKFORD ST,1,2,0,118.73,118.73,3,118.73,158.59
3232,6136000,,610,BLACKFORD ST,1,3,0,659.98,659.98,29,0,1979.95
8960,6134000,,611,BLACKFORD ST,0,4,0,896.79,769.52,36,0,2734.79
3226,6125000,,620,BLACKFORD ST,1,3,0,461.36,481.05,19,0,1500.94
8119,13935000,,310,BLACKLEY ST,0,1,0,68.19,68.19,1,0,68.19
8112,13922001,,322,BLACKLEY ST,0,1,0,86.96,86.96,1,0,86.96
8111,13922000,,324,BLACKLEY ST,0,2,0,89.19,89.19,1,0,178.37
8105,13886000,,335,BLACKLEY ST,0,1,0,214.88,214.88,2,0,214.88
6772,11549000,,202,BLACKMAN ST,1,1,0,76.92,76.92,1,76.92,76.92
9307,11548000,,206,BLACKMAN ST,1,2,0,162.86,124.86,1,28.8,250.19
6774,11551000,,207,BLACKMAN ST,1,2,0,84.73,84.73,1,84.73,144.93
6770,11547000,,208,BLACKMAN ST,1,1,0,89.93,89.93,2,48.77,89.93
6775,11552000,,209,BLACKMAN ST,1,1,0,118.92,118.92,2,97.36,118.92
6776,11553000,,211,BLACKMAN ST,1,1,0,112.78,112.78,1,112.78,112.78
6769,11546000,,212,BLACKMAN ST,1,2,0,50.07,50.07,1,50.07,71.44
